Branch,item,Description
160000,001811,AZALEA GA KAREN
160000,001812,AZALEA GA KAREN
160000,001813,AZALEA GA KAREN
160000,401033,AZALEA KIMBERLYS DBL PINK
160000,400873,AZALEA NL CANDY LIGHTS PPAF
160000,400883,AZALEA NL LEMON LIGHTS
160000,400903,AZALEA NL TRI-LIGHTS TM PPAF
160000,400913,AZALEA VISCOSUM
160000,023941,BER CRIMSON RUBY R PPAF
160000,023942,BER CRIMSON RUBY R PPAF
160000,02394M,BER CRIMSON RUBY R PPAF
160000,012031,BER GOLDN NUGGET ™ P9577 CBR
160000,012032,BER GOLDN NUGGET ™ P9577 CBR
160000,012033,BER GOLDN NUGGET ™ P9577 CBR
160000,074741S,BER SUNJOY R GOLD PILLAR PPAF
160000,074742S,BER SUNJOY R GOLD PILLAR PPAF
160000,080771S,BER SUNJOY R MINI SALSA PPAF
160000,080772S,BER SUNJOY R MINI SALSA PPAF
160000,012001,BER T ATROPURPUREA
160000,012002,BER T ATROPURPUREA
160000,012011,BER T CHERRY BOMB R CPBR 3488
160000,012012,BER T CHERRY BOMB R CPBR 3488
160000,012013,BER T CHERRY BOMB R CPBR 3488
160000,002241,BER T CONCORDE
160000,002242,BER T CONCORDE
160000,012051,BER T CRIMSON PYGMY
160000,012052,BER T CRIMSON PYGMY
160000,012053,BER T CRIMSON PYGMY
160000,063002,BER T GOLDEN ROCKET PP18411
160000,035231,BER T GOLDEN RUBY R PP16203
160000,035232,BER T GOLDEN RUBY R PP16203
160000,035233,BER T GOLDEN RUBY R PP16203
160000,401112,BER T GOLDEN TREASURE
160000,035271,BER T GREEN HORNET ™
160000,035272,BER T GREEN HORNET ™
160000,012101,BER T HELMOND PILLAR
160000,012102,BER T HELMOND PILLAR
160000,012105,BER T HELMOND PILLAR
160000,020701,BER T LIME GLOW
160000,020702,BER T LIME GLOW
160000,035262,BER T MIDNIGHT RUBY ™
160000,062931,BER T ORANGE ROCKET PP18411
160000,062932,BER T ORANGE ROCKET PP18411
160000,062935,BER T ORANGE ROCKET PP18411
160000,035241,BER T PYGMY RUBY ™
160000,035242,BER T PYGMY RUBY ™
160000,012201,BER T ROSE GLOW
160000,012202,BER T ROSE GLOW
160000,012203,BER T ROSE GLOW
160000,012205,BER T ROSE GLOW
160000,401122,BER T ROSY ROCKET PP18413
160000,012211,BER T ROYAL BURGUNDY R P9461
160000,012212,BER T ROYAL BURGUNDY R P9461
160000,012213,BER T ROYAL BURGUNDY R P9461
160000,029661,BER T ROYAL CLOAK
160000,029662,BER T ROYAL CLOAK
160000,029665,BER T ROYAL CLOAK
160000,401102S,BER T SIDEKICKS ™ BARNEY
160000,011931,BER T SUNSATION R PP11332 CBR
160000,011932,BER T SUNSATION R PP11332 CBR
160000,035362,CHAM OBT CRIPPSII
160000,035365,CHAM OBT CRIPPSII
160000,023901,CHAM OBT FILICOIDES
160000,023902,CHAM OBT FILICOIDES
160000,023905,CHAM OBT FILICOIDES
160000,02390M,CHAM OBT FILICOIDES
160000,023681,CHAM OBT GRACILIS
160000,023682,CHAM OBT GRACILIS
160000,023685,CHAM OBT GRACILIS
160000,02368M,CHAM OBT GRACILIS
160000,023791,CHAM OBT KOSTERI
160000,023792,CHAM OBT KOSTERI
160000,023795PT,CHAM OBT KOSTERI
160000,023911,CHAM OBT TEMPELHOF
160000,023912,CHAM OBT TEMPELHOF
160000,023915PT,CHAM OBT TEMPELHOF
160000,047125,CHAM OBT TETRAGONA AUREA  
160000,023931,CHAM OBT TORULOSA
160000,023932,CHAM OBT TORULOSA
160000,023935,CHAM OBT TORULOSA
160000,08240UT,CHAM PIS BABY BLUE
160000,082401,CHAM PIS BABY BLUE
160000,082402,CHAM PIS BABY BLUE
160000,082402PY,CHAM PIS BABY BLUE
160000,082402PY,CHAM PIS BABY BLUE
160000,082405,CHAM PIS BABY BLUE
160000,082405OP,CHAM PIS BABY BLUE
160000,02403UT,CHAM PIS FIL GOLDEN CHARM
160000,024031,CHAM PIS FIL GOLDEN CHARM
160000,024032,CHAM PIS FIL GOLDEN CHARM
160000,024035,CHAM PIS FIL GOLDEN CHARM
160000,02403M,CHAM PIS FIL GOLDEN CHARM
160000,058635,CHAM PIS FILIFERA AUREA
160000,082452,CHAM PIS GOLDEN MOP
160000,082455,CHAM PIS GOLDEN MOP
160000,08245M,CHAM PIS GOLDEN MOP
160000,02382UT,CHAM PIS SQUARROSA MINIMA
160000,023822,CHAM PIS SQUARROSA MINIMA
160000,023841,CHAM PIS SUNGOLD
160000,023842,CHAM PIS SUNGOLD
160000,048041,CLEM CENTER STAR ™ PP17010
160000,027281,CLEM LAN CANDIDA
160000,027285,CLEM LAN CANDIDA
160000,046252,CLEM LOUISE ROWE
160000,046255,CLEM LOUISE ROWE
160000,027471,CLEM PANICULATA
160000,027472,CLEM PANICULATA
160000,027475,CLEM PANICULATA
160000,021861,CLEM SAPPHIRE INDIGO ™PP17012
160000,021862,CLEM SAPPHIRE INDIGO ™PP17012
160000,021865,CLEM SAPPHIRE INDIGO ™PP17012
160000,089921S,CLEM SWEET SUMMER LOVE PPAF
160000,089922S,CLEM SWEET SUMMER LOVE PPAF
