Requested,Remaining,Date,Item,Description
10,10,6/1/2016,001651,AGAPANTHUS AFRICANUS
24,24,6/1/2016,001732,AGAPANTHUS BLUE STORM PP14332
30,30,6/1/2016,001801,AGAPANTHUS QUEEN ANNE-DIVISION
15,15,6/1/2016,001881,AGAPANTHUS X MIDKNIGHT BLUE R
7,7,6/1/2016,001882,AGAPANTHUS X MIDKNIGHT BLUE R
3,3,6/1/2016,001882,AGAPANTHUS X MIDKNIGHT BLUE R
10,10,6/1/2016,003151,ASPARAGUS MYERS
5,5,6/1/2016,003152,ASPARAGUS MYERS
10,10,6/1/2016,077412S,BUD LO&BEHLD R PRPL HAZE PPAF
15,15,6/1/2016,077392S,BUDDLEJA MISS MOLLY PPAF
40,40,6/1/2016,013821,BUXUS GREEN MOUNTAIN
5,5,6/1/2016,013835GL,BUXUS MIC WINTER GEM
5,5,6/1/2016,013835PY,BUXUS MIC WINTER GEM
15,15,6/1/2016,022711,CAMPSIS BALBOA SUNSET R
5,5,6/1/2016,022715,CAMPSIS BALBOA SUNSET R
10,10,6/1/2016,022381,CAMPSIS FLAVA
5,5,6/1/2016,022381,CAMPSIS FLAVA
10,10,6/1/2016,022551,CAMPSIS MADAME GALEN
5,5,6/1/2016,022551,CAMPSIS MADAME GALEN
5,5,6/1/2016,017411,CANNA TROPICANNA GLD TM P13809
10,10,6/1/2016,022481,CANNA TROPICANNA TM PP10569
10,10,6/1/2016,022482,CANNA TROPICANNA TM PP10569
5,5,6/1/2016,038415,CERCIS C HEARTS OF GOLD P17740
5,5,6/1/2016,027305,CLEM VIT MADAME JULIA CORREVON
10,10,6/1/2016,031721,CORDYLINE BAUERI
2,2,6/1/2016,035405ES,EUO KIA MANHATTAN
10,10,6/1/2016,036725,FICUS CAR BLACK JACK
10,10,6/1/2016,036785,FICUS CAR BROWN TURKEY
10,10,6/1/2016,036795,FICUS CAR KADOTA
20,20,6/1/2016,036815,FICUS CAR MISSION
3,3,6/1/2016,036745,FICUS CAR PETERS HONEY
5,5,6/1/2016,022585,GR-CAREX BUCHANANII
5,5,6/1/2016,031942,GR-ELYMUS ARENARIUS BLUE DUNE
10,10,6/1/2016,036671,GR-FESTUCA GLAUCA ELIJAH BLUE
9,9,6/1/2016,061562,GR-MIS SIN GRACILLIMUS
1,1,6/1/2016,061562,GR-MIS SIN GRACILLIMUS
2,2,6/1/2016,061562,GR-MIS SIN GRACILLIMUS
4,4,6/1/2016,061565,GR-MIS SIN GRACILLIMUS
5,5,6/1/2016,061662,GR-MIS SIN MORNING LIGHT
