Loc,Order#,PO#,Request Date,Item,Size,Description,Product,Zone,Common Name,New Plant,Catalog Price      ,Price Code,Net Price     ,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,Condition,Current Specs,Plant Status,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
OR,1469683,2015 SPRING SBO               ,06/01/15  ,03182M,#10 Squat,ACER PAL SHIN DESHOJO,TRE,05,Deshojo Japanese Maple                                                                              ,New ,118.00 ,,100.30 , 2 , 2 , 200.60 ,     ,     ,     ,Now         ,DORMANT,"54""H",,19.46 , 119.76 ,     ,,     ,014949305645 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,001651,#1,AGAPANTHUS AFRICANUS,EVS,08,Lily Of The Nile                                                                                    ,    ,5.50 ,,4.68 , 10 , 10 , 46.80 ,     ,     ,     ,Now         ,-,"10""H",,1.13 , 5.81 ,     ,,     ,014949016510 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,001732,#2,AGAPANTHUS BLUE STORM PP14332,EVS,08,Blue Storm™  Lily Of The Nile                                                                       ,    ,14.50 ,,12.33 , 5 , 25 , 308.25 ,     ,     ,     ,Now         ,-,5-7 FANS,,2.82 , 15.15 ,     ,, 24.99 ,014949007990 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,001801,#1,AGAPANTHUS QUEEN ANNE-DIVISION,EVS,08,Queen Anne Lily Of The Nile                                                                         ,    ,7.00 ,,5.95 , 10 , 30 , 178.50 ,     ,     ,     ,Now         ,-,3-5 FANS,,1.13 , 7.08 ,     ,, 14.99 ,014949018019 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,080301,#1,AJUGA CHOCOLATE CHIP,PRN,04,Chocolate Chip Carpet Bugle                                                                         ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,-,CAN FULL,PS2*,1.08 , 5.25 ,     ,, 11.99 ,014949803011 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,002561,#1 STAKED,AKEBIA QUINATA SHIRO BANA,VIN,05,White Flowered Chocolate Vine                                                                       ,    ,7.75 ,,6.59 , 10 , 10 , 65.90 ,     ,     ,     ,Now         ,-,FULL STK,,1.08 , 7.67 ,     ,, 16.99 ,014949025611 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,002741,#1,ANEMONE SYLVESTRIS,PRN,02,Snowdrop Anemone                                                                                    ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,CUT BACK,CAN FULL,PS2,1.08 , 5.25 ,     ,, 12.99 ,014949027417 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,029351,#1,AQUILEGIA CAE ORIGAMI MIX,PRN,03,Origami Mix Columbine                                                                               ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,-,CAN FULL,PS1,1.08 , 5.25 ,     ,, 12.99 ,014949066690 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,002691,#1,ARMERIA MAR COTTON TAIL,PRN,03,Cotton Tail Thrift                                                                                  ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,,CAN FULL,PS0,1.08 , 5.25 ,     ,, 12.99 ,014949026915 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,003151,#1,ASPARAGUS MYERS,FRN,09,Foxtail Fern                                                                                        ,    ,7.75 ,,6.59 , 10 , 10 , 65.90 ,     ,     ,     ,Now         ,-,8''H,,1.13 , 7.72 ,     ,, 17.99 ,014949031513 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,003152,#2,ASPARAGUS MYERS,FRN,09,Foxtail Fern                                                                                        ,    ,16.50 ,,14.03 , 5 , 5 , 70.15 ,     ,     ,     ,Now         ,-,"12""H",,2.82 , 16.85 ,     ,, 35.99 ,014949031520 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,003541,#1,ASTILBE RHEINLAND,PRN,04,Rheinland Astilbe                                                                                   ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,CUT BACK,3-5 EYES,PS1,1.08 , 5.25 ,     ,, 11.99 ,014949035412 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,003551,#1,AUBRIETA ROKEY'S PURPLE,PRN,05,Rokey's Purple Aubrieta                                                                             ,    ,4.90 ,,4.17 , 10 , 12 , 50.04 ,     ,     ,     ,Now         ,CUT BACK,2/3 CAN FULL,PS1,1.08 , 5.25 ,     ,, 11.99 ,014949035511 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,011285,#5,BAM-PHYLLO BISSETII (RUN),GRS,05,Bissett Bamboo                                                                                      ,    ,46.50 ,,39.53 , 5 , 5 , 197.65 ,     ,     ,     ,Now         ,-,"36""H",,5.63 , 45.16 ,     ,, 95.99 ,014949112854 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,012305MU,#5 CLUMP,BETULA PENDULA (ALBA),TRE,02,European White Birch                                                                                ,    ,32.00 ,,27.20 , 5 , 5 , 136.00 ,     ,     ,     ,Now         ,FALL COLOR,"84""H - 24""S",,5.41 , 32.61 ,     ,, 68.99 ,014949123355 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,013651,#1,BRUNNERA MAC VARIEGATA,PRN,03,Variegated Siberian Bugloss                                                                         ,    ,6.95 ,,5.91 , 10 , 25 , 147.75 ,     ,     ,     ,04/01/15    ,-,,PS2,1.08 , 6.99 ,     ,, 16.99 ,014949136515 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,074412S,SuperTwo,BUD LO&BEHLD R BLU CHP PP19991,DCS,05,Lo & Behold®  Blue Chip Dwarf Summer Lilac                                                          ,2011,17.00 ,,14.45 , 5 , 10 , 144.50 ,     ,     ,     ,03/01/15    ,-,,,3.76 , 18.21 ,     ,, 37.99 ,014949335697 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,077412S,SuperTwo,BUD LO&BEHLD R PRPL HAZE PPAF,DCS,05,Lo & Behold®  Purple Haze Summer Lilac                                                              ,2011,17.00 ,,14.45 , 5 , 10 , 144.50 ,     ,     ,     ,03/01/15    ,-,,,3.76 , 18.21 ,     ,, 35.99 ,014949361030 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF,DCS,05,Miss Molly Summer Lilac                                                                             ,2012,17.00 ,,14.45 , 5 , 15 , 216.75 ,     ,     ,     ,03/01/15    ,-,,,3.76 , 18.21 ,     ,, 33.99 ,014949355749 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,013821,#1,BUXUS GREEN MOUNTAIN,EVS,04,Green Mountain Boxwood                                                                              ,    ,6.50 ,,5.53 , 10 , 26 , 143.78 ,     ,     ,     ,Now         ,FALL COLOR,"10""H - 6""S",,1.13 , 6.66 ,     ,, 13.99 ,014949138212 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,013822,#2,BUXUS GREEN MOUNTAIN,EVS,04,Green Mountain Boxwood                                                                              ,    ,15.00 ,,12.75 , 5 , 10 , 127.50 ,     ,     ,     ,Now         ,-,"14""H - 10""S",,2.70 , 15.45 ,     ,, 32.99 ,014949138229 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,013825SP,#5 SPIRAL,BUXUS GREEN MOUNTAIN,EVS,04,Green Mountain Boxwood                                                                              ,    ,78.00 ,,66.30 , 2 , 2 , 132.60 ,     ,     ,     ,Now         ,-,"30""H *",,8.45 , 74.75 ,     ,, 161.99 ,014949138267 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,013891,#1,BUXUS GREEN VELVET,EVS,04,Green Velvet Boxwood                                                                                ,    ,7.50 ,,6.38 , 10 , 20 , 127.60 ,     ,     ,     ,Now         ,-,"8""H - 8""S",,1.08 , 7.46 ,     ,, 14.99 ,014949138915 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,013831,#1,BUXUS MIC WINTER GEM,EVS,05,Winter Gem Boxwood                                                                                  ,    ,6.50 ,,5.53 , 10 , 10 , 55.30 ,     ,     ,     ,Now         ,-,8''H - 8''S,,1.08 , 6.61 ,     ,, 13.99 ,014949138311 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,013835GL,#5 GLOBE,BUXUS MIC WINTER GEM,EVS,05,Winter Gem Boxwood                                                                                  ,    ,37.00 ,,31.45 , 2 , 5 , 157.25 ,     ,     ,     ,04/01/15    ,-,,,5.63 , 37.08 ,     ,, 78.99 ,014949138656 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,013835PY,#5 PYRAMID,BUXUS MIC WINTER GEM,EVS,05,Winter Gem Boxwood                                                                                  ,    ,41.50 ,,35.28 , 2 , 3 , 105.84 ,     ,     ,     ,04/01/15    ,-,,,5.63 , 40.91 ,     ,, 84.99 ,014949138458 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,013905,#5,BUXUS S GREEN TOWER R PP15243,EVS,05,Green Tower®  Boxwood                                                                               ,    ,24.50 ,,20.83 , 5 , 10 , 208.30 ,     ,     ,     ,Now         ,-,"24""H - 9""S",,5.41 , 26.24 ,     ,, 53.99 ,014949139059 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,01398UT,LittleOne,BUXUS SEMP SUFFRUTICOSA,EVS,05,Dwarf English Boxwood                                                                               ,    ,5.00 ,,4.25 , 16 , 33 , 140.25 ,     ,     ,     ,04/01/15    ,-,,,0.81 , 5.06 ,     ,, 8.99 ,014949068953 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,013982,#2,BUXUS SEMP SUFFRUTICOSA,EVS,05,Dwarf English Boxwood                                                                               ,    ,16.50 ,,14.03 , 5 , 35 , 491.05 ,     ,     ,     ,Now         ,-,10''H - 9''S,,2.70 , 16.73 ,     ,, 34.99 ,014949027103 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,01388UT,LittleOne,BUXUS SEMP VARIEGATA,EVS,05,Variegated English Boxwood                                                                          ,    ,5.00 ,,4.25 , 16 , 34 , 144.50 ,     ,     ,     ,Now         ,,"4""H",,0.81 , 5.06 ,     ,, 10.99 ,014949068960 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,022711,#1 STAKED,CAMPSIS BALBOA SUNSET R,VIN,04,Balboa Sunset®  Trumpet Creeper                                                                     ,    ,7.50 ,,6.38 , 10 , 45 , 287.10 ,     ,     ,     ,Now         ,DORMANT,24''H,,1.13 , 7.51 ,     ,, 16.99 ,014949227121 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,022715,#5 STAKED,CAMPSIS BALBOA SUNSET R,VIN,04,Balboa Sunset®  Trumpet Creeper                                                                     ,    ,26.00 ,,22.10 , 5 , 5 , 110.50 ,     ,     ,     ,Now         ,-,48''H,,5.63 , 27.73 ,     ,, 56.99 ,014949227138 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,022381,#1 STAKED,CAMPSIS FLAVA,VIN,04,Yellow Trumpet Creeper                                                                              ,    ,7.50 ,,6.38 , 10 , 15 , 95.70 ,     ,     ,     ,Now         ,-,24''H,,1.13 , 7.51 ,     ,, 15.99 ,014949223819 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,022551,#1 STAKED,CAMPSIS MADAME GALEN,VIN,04,Trumpet Creeper                                                                                     ,    ,7.50 ,,6.38 , 10 , 15 , 95.70 ,     ,     ,     ,Now         ,DORMANT,24''H,,1.13 , 7.51 ,     ,, 16.99 ,014949225516 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,017411,#1,CANNA TROPICANNA GLD TM P13809,PRN,07,Tropicanna®  Gold Canna                                                                             ,    ,9.50 ,,8.08 , 10 , 10 , 80.80 ,     ,     ,     ,03/01/15    ,-,,PS2,1.13 , 9.21 ,     ,,     ,014949005132 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,022481,#1,CANNA TROPICANNA TM PP10569,PRN,07,Tropicanna®  Canna                                                                                  ,    ,9.50 ,,8.08 , 10 , 10 , 80.80 ,     ,     ,     ,03/15/15    ,-,,PS2,1.13 , 9.21 ,     ,, 19.99 ,014949055656 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,022482,#2,CANNA TROPICANNA TM PP10569,PRN,07,Tropicanna®  Canna                                                                                  ,    ,19.50 ,,16.58 , 5 , 5 , 82.90 ,     ,     ,     ,03/01/15    ,-,,PS2,2.82 , 19.40 ,     ,, 32.99 ,014949224823 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,038415,#5,CERCIS C HEARTS OF GOLD P17740,TRE,05,Hearts Of Gold Redbud                                                                               ,2009,40.50 ,,34.43 , 5 , 5 , 172.15 ,     ,     ,     ,Now         ,DORMANT,"56""H",,5.63 , 40.06 ,     ,, 84.99 ,014949219454 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,08240UT,LittleOne,CHAM PIS BABY BLUE,CON,04,Baby Blue Sawara Cypress                                                                            ,    ,4.80 ,,4.08 , 16 , 16 , 65.28 ,     ,     ,     ,Now         ,-,"3""H",,0.81 , 4.89 ,     ,, 10.99 ,014949069028 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,02403UT,LittleOne,CHAM PIS FIL GOLDEN CHARM,CON,04,Golden Charm Thread-Branch Cypress                                                                  ,    ,4.80 ,,4.08 , 16 , 16 , 65.28 ,     ,     ,     ,Now         ,,"3""H",,0.81 , 4.89 ,     ,, 10.99 ,014949069004 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,046252,#2 STAKED,CLEM LOUISE ROWE,VIN,04,Louise Rowe Clematis                                                                                ,New ,18.00 ,,15.30 , 5 , 5 , 76.50 ,     ,     ,     ,Now         ,-,FULL STK,,2.70 , 18.00 ,     ,,     ,014949368350 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,051481,#1 STAKED,CLEM VANCOUVER TM DANIELLE,VIN,04,Vancouver™  Danielle Clematis                                                                       ,2010,10.00 ,,8.50 , 10 , 10 , 85.00 ,     ,     ,     ,Now         ,-,FULL STK,,1.08 , 9.58 ,     ,, 20.99 ,014949340110 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,027215,#5 STAKED,CLEM VIT ETOILE VIOLETTE,VIN,04,Etoile Violette Clematis                                                                            ,    ,29.50 ,,25.08 , 5 , 5 , 125.40 ,     ,     ,     ,03/01/15    ,,,,5.63 , 30.71 ,     ,, 65.99 ,014949272152 
