Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000755,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,00189UT,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,00059UT,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,002002,,,,,,,,,,
,003151,,,,,,,,,,
,027501,,,,,,,,,,
,016341,,,,,,,,,,
,012701,,,,,,,,,,
,013051,,,,,,,,,,
,407622S,,,,,,,,,,
,074411S,,,,,,,,,,
,080812S,,,,,,,,,,
,401292S,,,,,,,,,,
,013781,,,,,,,,,,
,013782,,,,,,,,,,
,013571,,,,,,,,,,
,013572,,,,,,,,,,
,013791,,,,,,,,,,
,013792,,,,,,,,,,
,074401S,,,,,,,,,,
,074402S,,,,,,,,,,
,013831,,,,,,,,,,
,029212,,,,,,,,,,
,017412,,,,,,,,,,
,022482,,,,,,,,,,
,023481,,,,,,,,,,
,023021,,,,,,,,,,
,023021,,,,,,,,,,
,004221,,,,,,,,,,
,039512,,,,,,,,,,
,027472,,,,,,,,,,
,044481,,,,,,,,,,
,408492,,,,,,,,,,
,412585,,,,,,,,,,
,031721,,,,,,,,,,
,018411,,,,,,,,,,
,408551,,,,,,,,,,
,027971,,,,,,,,,,
,027971,,,,,,,,,,
,028145PT,,,,,,,,,,
,030491,,,,,,,,,,
,034201,,,,,,,,,,
,09723UT,,,,,,,,,,
,004591,,,,,,,,,,
,031611,,,,,,,,,,
,097211,,,,,,,,,,
,086821,,,,,,,,,,
,007051,,,,,,,,,,
,08702UT,,,,,,,,,,
,054441,,,,,,,,,,
,004891,,,,,,,,,,
,047511,,,,,,,,,,
,003121,,,,,,,,,,
,059741,,,,,,,,,,
,057301,,,,,,,,,,
,032021,,,,,,,,,,
,036451,,,,,,,,,,
,412631,,,,,,,,,,
,408751,,,,,,,,,,
,408801,,,,,,,,,,
,037961,,,,,,,,,,
,023081,,,,,,,,,,
,023081,,,,,,,,,,
,005231,,,,,,,,,,
,059031,,,,,,,,,,
,014011,,,,,,,,,,
,022591,,,,,,,,,,
,028051,,,,,,,,,,
,089291,,,,,,,,,,
,035911,,,,,,,,,,
,061561,,,,,,,,,,
,061551,,,,,,,,,,
,061641,,,,,,,,,,
,063881,,,,,,,,,,
,063881,,,,,,,,,,
,064261,,,,,,,,,,
,064262,,,,,,,,,,
,06427UT,,,,,,,,,,
,064271,,,,,,,,,,
,064271,,,,,,,,,,
,039991,,,,,,,,,,
,075431,,,,,,,,,,
,414781,,,,,,,,,,
,414791,,,,,,,,,,
,414811,,,,,,,,,,
,040511,,,,,,,,,,
,040511,,,,,,,,,,
,040091,,,,,,,,,,
,040121,,,,,,,,,,
,040111,,,,,,,,,,
,403231,,,,,,,,,,
,047531,,,,,,,,,,
,412671,,,,,,,,,,
,040451,,,,,,,,,,
,049711,,,,,,,,,,
,034712,,,,,,,,,,
,034732,,,,,,,,,,
,074502S,,,,,,,,,,
,412681,,,,,,,,,,
,017521,,,,,,,,,,
,041881,,,,,,,,,,
,062011,,,,,,,,,,
,083971,,,,,,,,,,
,041712,,,,,,,,,,
,092752,,,,,,,,,,
,092755,,,,,,,,,,
,403923,,,,,,,,,,
,077462S,,,,,,,,,,
,077465,,,,,,,,,,
,074592S,,,,,,,,,,
,074595,,,,,,,,,,
,089932S,,,,,,,,,,
,080951S,,,,,,,,,,
,029922S,,,,,,,,,,
,074612S,,,,,,,,,,
,093175,,,,,,,,,,
,048162,,,,,,,,,,
,080962S,,,,,,,,,,
,042131,,,,,,,,,,
,042131,,,,,,,,,,
,074952S,,,,,,,,,,
,045352,,,,,,,,,,
,021092,,,,,,,,,,
,080741,,,,,,,,,,
,02490UT,,,,,,,,,,
,024901,,,,,,,,,,
,056871,,,,,,,,,,
,056951,,,,,,,,,,
,056953PT,,,,,,,,,,
,056881,,,,,,,,,,
,057201SPT,,,,,,,,,,
,024461,,,,,,,,,,
,024462,,,,,,,,,,
,009161,,,,,,,,,,
,057311,,,,,,,,,,
,00967UT,,,,,,,,,,
,067831,,,,,,,,,,
,060401,,,,,,,,,,
,061201,,,,,,,,,,
,061205,,,,,,,,,,
,061191,,,,,,,,,,
,061192,,,,,,,,,,
,047251,,,,,,,,,,
,082581,,,,,,,,,,
,062281,,,,,,,,,,
,047075,,,,,,,,,,
,063742,,,,,,,,,,
,046212,,,,,,,,,,
,063762,,,,,,,,,,
,409001,,,,,,,,,,
,409011,,,,,,,,,,
,064211,,,,,,,,,,
,084781,,,,,,,,,,
,065082,,,,,,,,,,
,066371,,,,,,,,,,
,066371,,,,,,,,,,
,066375PT,,,,,,,,,,
,065361,,,,,,,,,,
,065361,,,,,,,,,,
,058141,,,,,,,,,,
,098542S,,,,,,,,,,
,098552S,,,,,,,,,,
,022642S,,,,,,,,,,
,042825PT,,,,,,,,,,
,030902S,,,,,,,,,,
,030902S,,,,,,,,,,
,030905PT,,,,,,,,,,
,030905PT,,,,,,,,,,
,011625PT,,,,,,,,,,
,071011,,,,,,,,,,
,055421,,,,,,,,,,
,011691,,,,,,,,,,
,019541,,,,,,,,,,
,020411,,,,,,,,,,
,03028UT,,,,,,,,,,
,007331,,,,,,,,,,
,007301,,,,,,,,,,
,069871,,,,,,,,,,
,011881,,,,,,,,,,
,011011,,,,,,,,,,
,011891,,,,,,,,,,
,072022,,,,,,,,,,
,409762,,,,,,,,,,
,409972,,,,,,,,,,
,076392,,,,,,,,,,
,080942S,,,,,,,,,,
,407362S,,,,,,,,,,
,076811,,,,,,,,,,
,090151,,,,,,,,,,
,413061,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
