,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
550000,074391S,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,+,9,-,-,9,9,-,,-,$9.50 ,-,-,,
170000,074395,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,+,5,-,-,5,-,-,3/15/2014,-,$19.50 ,-,-,,
170000,000105,ABELIA EDWARD GOUCHER,EVS,+,21,10,-,11,11,-,,-,$18.75 ,7,-,,
170000,028345,ABELIA GRA KALEIDOSCOPE P16988,EVS,+,5,-,-,5,-,-,3/1/2014,-,$20.50 ,-,-,,
550000,025692,ABELIA GRA ROSE CREEK,EVS,+,7,-,-,7,7,-,3/1/2014,-,$13.25 ,-,-,,
170000,000055,ABELIA GRANDIFLORA,EVS,+,8,-,-,8,-,-,4/1/2014,-,$18.75 ,-,-,,
170000,000091,ABELIA PROSTRATA,EVS,+,9,-,-,9,-,-,3/15/2014,61,$5.50 ,-,-,,
160000,020695,ABELIOPHYLLUM DIS ROSEUM,DCS,+,6,-,-,6,6,1,,1,$19.25 ,5,-,,
160000,000082,ABIES BALSAMEA NANA,CON,+,8,8,-,-,-,129,,129,$21.50 ,15,-,,
170000,000135ST,ABUTILON ROSEUS,EVS,+,20,20,-,-,-,29,,29,$24.50 ,30,-,,
170000,000205PT,ABUTILON SUPER RED R,EVS,+,4,-,-,4,-,-,4/1/2014,-,$38.50 ,4,-,,
170000,000401,ACANTHUS OAK LEAF,PRN,+,16,-,-,16,-,-,3/15/2014,-,$8.50 ,-,-,,
550000,000402,ACANTHUS OAK LEAF,PRN,+,25,-,-,25,25,"1,988",3/1/2014,"3,120",$15.50 ,-,-,,
170000,000405,ACANTHUS OAK LEAF,PRN,+,10,10,-,-,-,-,3/15/2014,42,$23.00 ,10,-,,
160000,02180M,ACER CIR PACIFIC FIRE,TRE,+,6,-,-,6,6,-,,-,$109.00 ,-,-,,
160000,000445,ACER GRISEUM,TRE,+,5,-,-,5,5,156,,156,$33.00 ,-,-,,
160000,000447,ACER GRISEUM,TRE,+,2,2,-,-,-,-,,-,$70.00 ,5,-,,
160000,00052M,ACER JAPONICUM ACONITIFOLIUM,TRE,+,2,-,-,2,2,-,,-,$109.00 ,5,-,,
160000,000755,ACER PAL BLOODGOOD,TRE,+,34,-,-,34,-,-,,-,$54.00 ,-,-,,
160000,000805,ACER PAL BURGUNDY LACE,TRE,+,19,-,-,19,-,-,5/15/2014,-,$54.00 ,-,-,,
160000,00095M,ACER PAL CRIMSON QUEEN,TRE,+,18,-,-,18,-,-,5/15/2014,-,$109.00 ,-,-,,
160000,000845,ACER PAL EMPEROR I R,TRE,+,7,-,-,7,-,-,,-,$54.00 ,-,-,,
160000,033215,ACER PAL KAGIRI NISHIKI,TRE,+,5,5,-,-,-,-,,-,$54.00 ,-,-,,
160000,001052,ACER PAL OSHIO BENI,TRE,+,5,-,-,5,-,-,5/15/2014,131,$36.00 ,-,-,,
160000,010395ST,ACER PAL RED DRAGON R,TRE,+,3,-,-,3,-,-,5/15/2014,-,$54.00 ,-,-,,
160000,001025,ACER PAL SANGOKAKU,TRE,+,22,-,-,22,-,-,5/15/2014,-,$54.00 ,-,-,,
160000,001029,ACER PAL SANGOKAKU,TRE,+,3,-,-,3,-,-,5/15/2014,-,$138.00 ,4,-,,
160000,00102M,ACER PAL SANGOKAKU,TRE,+,6,-,-,6,-,-,,-,$109.00 ,-,-,,
160000,018335,ACER PAL SHISHIGASHIRA,TRE,+,5,-,-,5,-,-,,-,$54.00 ,-,-,,
160000,000905,ACER PAL WATERFALL,TRE,+,9,-,-,9,-,-,5/15/2014,-,$54.00 ,-,-,,
160000,000905ST,ACER PAL WATERFALL,TRE,+,8,-,-,8,-,-,5/15/2014,-,$54.00 ,-,-,,
160000,00090M,ACER PAL WATERFALL,TRE,+,6,-,-,6,-,-,5/15/2014,-,$109.00 ,-,-,,
160000,030335,ACER SHIR AUTUMN MOON,TRE,+,15,-,-,15,15,-,,-,$54.00 ,-,-,,
160000,03033M,ACER SHIR AUTUMN MOON,TRE,+,2,-,-,2,2,-,,-,$109.00 ,-,-,,
550000,05856UT,ACHILLEA MILL APPLEBLOSSOM,PRN,+,16,-,-,16,-,-,4/1/2014,-,$2.95 ,16,-,,
550000,00134UT,ACHILLEA MILL PAPRIKA,PRN,+,16,-,-,16,-,-,4/1/2014,-,$2.95 ,16,-,,
160000,001395,ACTINIDIA ARG ISSAI (FEMALE),VIN,+,5,-,-,5,5,46,5/1/2014,46,$28.50 ,2,-,,
160000,001495,ACTINIDIA KOLOMIKTA,VIN,+,3,-,-,3,3,5,,5,$28.50 ,-,-,,
170000,075041,AEONIUM ARBORESCENS TIP TOP TM,CAC,+,0,-,-,-,-,-,,-,$7.00 ,10,-,,
160000,028895,AESCULUS X ARN AUTUMN SPLENDOR,TRE,+,10,-,-,10,10,576,5/15/2014,640,$31.00 ,5,-,,
170000,001651,AGAPANTHUS AFRICANUS,EVS,+,97,40,-,57,57,"1,007",,"1,007",$5.00 ,40,-,,
550000,001651,AGAPANTHUS AFRICANUS,EVS,+,15,-,-,15,-,-,4/15/2014,36,$5.00 ,10,-,,
170000,001655,AGAPANTHUS AFRICANUS,EVS,+,133,133,-,-,-,-,4/1/2014,-,$16.50 ,105,-,,
550000,001655,AGAPANTHUS AFRICANUS,EVS,+,38,-,-,38,34,-,5/1/2014,-,$16.50 ,47,-,,
170000,001701,AGAPANTHUS ALBUS,EVS,+,12,12,-,-,-,-,,-,$5.00 ,-,-,,
170000,001705,AGAPANTHUS ALBUS,EVS,+,160,120,-,40,-,-,4/1/2014,-,$16.50 ,113,-,,
170000,099571,AGAPANTHUS BABY PETE TMPP21705,EVS,+,250,115,-,135,135,"3,602",,"3,602",$7.00 ,60,-,,
550000,099571,AGAPANTHUS BABY PETE TMPP21705,EVS,+,29,12,-,17,17,"2,795",4/1/2014,"4,729",$7.00 ,65,-,,
160000,050012,AGAPANTHUS BLUE LEAP,DCS,+,5,-,-,5,5,-,5/1/2014,-,$14.00 ,-,-,,
170000,001732,AGAPANTHUS BLUE STORM PP14332,EVS,+,242,155,-,87,87,-,,-,$14.00 ,125,-,,
550000,001732,AGAPANTHUS BLUE STORM PP14332,EVS,+,76,10,-,66,-,-,5/1/2014,104,$14.00 ,71,-,,
170000,001801,AGAPANTHUS QUEEN ANNE-DIVISION,EVS,+,98,60,-,38,38,-,,-,$6.50 ,35,-,,
170000,001805,AGAPANTHUS QUEEN ANNE-DIVISION,EVS,+,238,155,-,83,83,-,,-,$18.00 ,182,-,,
170000,038592,AGAPANTHUS STORM CLOUD,DCS,+,10,10,-,-,-,-,4/1/2014,-,$14.00 ,65,-,,
170000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,+,250,180,-,70,-,-,3/15/2014,"3,611",$7.00 ,290,-,,
550000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,+,43,-,-,43,-,-,4/1/2014,653,$7.00 ,10,-,,
170000,001882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,+,341,105,-,236,-,-,3/15/2014,-,$15.50 ,45,-,,
550000,001882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,+,84,10,-,74,-,-,4/15/2014,523,$15.50 ,54,-,,
170000,001885,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,+,354,264,-,90,-,-,3/15/2014,50,$22.50 ,140,-,,
550000,001885,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,+,160,8,-,152,-,-,4/1/2014,685,$22.50 ,145,-,,
170000,021595,AGAVE DESMETTIANA VARIEGATA,CAC,+,5,-,-,5,5,-,,-,$22.00 ,-,-,,
170000,074132,AGAVE DURANGO,CAC,+,21,6,-,15,15,-,,-,$17.75 ,6,-,,
170000,092822,AGAVE OCA X ATT BLUE GLOW,CAC,+,3,-,-,3,3,-,5/1/2014,-,$17.75 ,-,-,,
550000,092822,AGAVE OCA X ATT BLUE GLOW,CAC,+,5,5,-,-,-,-,5/15/2014,5,$17.75 ,-,-,,
170000,025222,AGAVE PARRYI VAR TRUNCATA,CAC,+,2,-,-,2,-,-,4/1/2014,-,$17.75 ,-,-,,
170000,068812,AGAVE POTATORUM KISSHO KAN,CAC,+,20,-,-,20,20,126,,126,$17.75 ,10,-,,
160000,08030UT,AJUGA CHOCOLATE CHIP,PRN,+,16,-,-,16,16,322,6/1/2014,322,$2.95 ,-,-,,
550000,08030UT,AJUGA CHOCOLATE CHIP,PRN,+,22,-,-,22,22,"2,572",4/1/2014,"4,404",$2.95 ,-,-,,
160000,002565,AKEBIA QUINATA SHIRO BANA,VIN,+,5,-,-,5,5,637,5/1/2014,637,$26.00 ,5,-,,
170000,001995,ALBIZIA J SUMMER CHOC PP13822,TRE,+,50,5,-,45,45,103,,103,$33.00 ,5,-,,
170000,001999,ALBIZIA J SUMMER CHOC PP13822,TRE,+,1,1,-,-,-,-,,-,$95.00 ,2,-,,
170000,001955,ALBIZIA JUL ROSEA,TRE,+,16,-,-,16,16,-,,-,$25.75 ,10,-,,
160000,04868UT,ALCHEMILLA ALPINA,PRN,+,16,-,-,16,16,392,,392,$2.95 ,-,-,,
170000,064081,ALOE BLUE ELF,CAC,+,15,-,-,15,15,-,,-,$6.25 ,10,-,,
170000,063802,ALOE DOROTHEAE,CAC,+,10,5,-,5,5,400,,400,$17.75 ,-,-,,
170000,077801,ALOE HYBRID CARMINE TM,CAC,+,14,-,-,14,14,191,4/1/2014,191,$8.00 ,-,-,,
170000,077781,ALOE HYBRID GUIDO TM,CAC,+,27,10,-,17,17,480,4/1/2014,480,$8.00 ,20,-,,
550000,002002,ALPINIA ZERUMBET VARIEGATA,PRN,+,75,5,-,70,-,-,5/1/2014,111,$15.50 ,14,-,,
170000,002005,ALPINIA ZERUMBET VARIEGATA,PRN,+,5,-,-,5,5,-,,-,$23.00 ,-,-,,
170000,066382,ALST ROCK AND ROLL R PP21001,PRN,+,50,-,-,50,-,-,4/15/2014,-,$14.00 ,-,-,,
170000,040311,ALYOGYNE LEON'S PUR DELIGHT TM,EVS,+,18,-,-,18,-,-,4/1/2014,301,$6.75 ,10,-,,
170000,040315,ALYOGYNE LEON'S PUR DELIGHT TM,EVS,+,7,-,-,7,-,-,4/1/2014,150,$21.75 ,5,-,,
170000,002385PT,ALYOGYNE PURPLE DELIGHT TM,EVS,+,4,-,-,4,-,-,4/1/2014,269,$38.50 ,-,-,,
160000,016631,ANDROMEDA POL BLUE ICE,EVS,+,10,-,-,10,10,-,6/1/2014,-,$8.50 ,-,-,,
550000,00074UT,ANEMONE PULSATILLA,PRN,+,16,-,-,16,-,-,4/1/2014,-,$2.95 ,16,-,,
550000,065991,ANEMONE SEPTEMBER CHARM,PRN,+,10,-,-,10,-,-,4/1/2014,-,$4.75 ,-,-,,
160000,00272UT,AQUILEGIA FLA CAMEO BLUE & WT,PRN,+,16,-,-,16,16,-,,-,$2.95 ,-,-,,
160000,003075,ARONIA BRILLIANTISSIMA,DCS,+,5,-,-,5,5,137,,137,$20.25 ,15,-,,
550000,001011,ARTEMISIA SCHM SILVER MOUND,PRN,+,6,6,-,-,-,-,4/1/2014,6,$4.75 ,10,-,,
170000,021912,ASCLEPIAS RED BUTTERFLIES,PRN,+,6,-,-,6,-,-,3/15/2014,-,$11.00 ,-,-,,
170000,003151,ASPARAGUS MYERS,FRN,+,135,130,-,5,5,"8,314",,"8,314",$7.50 ,20,-,,
550000,003151,ASPARAGUS MYERS,FRN,+,378,95,-,283,283,"2,299",4/1/2014,"2,299",$7.50 ,89,-,,
170000,003152,ASPARAGUS MYERS,FRN,+,43,40,-,3,3,330,4/1/2014,330,$15.50 ,28,-,,
550000,003152,ASPARAGUS MYERS,FRN,+,38,25,-,13,13,253,4/1/2014,253,$15.50 ,5,-,,
170000,003155,ASPARAGUS MYERS,FRN,+,35,-,-,35,-,-,4/15/2014,605,$23.00 ,35,-,,
550000,003155,ASPARAGUS MYERS,FRN,+,50,-,-,50,50,20,4/1/2014,20,$23.00 ,5,-,,
170000,003301,ASPARAGUS SPR COMPACTA,FRN,+,9,9,-,-,-,-,,-,$5.50 ,15,-,,
550000,003621,ASTILBE CHINENSIS VISIONS,PRN,+,30,-,-,30,30,"1,653",4/1/2014,"2,695",$4.75 ,-,-,,
550000,027501,ASTILBE COLOR FLASH R PP17343,PRN,+,65,10,-,55,55,"2,046",4/1/2014,"2,856",$6.75 ,10,-,,
550000,003511,ASTILBE DEUTSCHLAND,PRN,+,35,10,-,25,-,-,4/1/2014,107,$4.75 ,10,-,,
550000,001631,ASTILBE HENNIE GRAAFLAND,PRN,+,15,-,-,15,15,149,4/1/2014,149,$4.75 ,-,-,,
