Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,029061,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,029061,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,000511,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,001351,,,,,,,,,,
,059041,,,,,,,,,,
,412511,,,,,,,,,,
,021251,,,,,,,,,,
,08030UT,,,,,,,,,,
,080301,,,,,,,,,,
,00193UT,,,,,,,,,,
,001931,,,,,,,,,,
,035341,,,,,,,,,,
,015931,,,,,,,,,,
,003041,,,,,,,,,,
,025761,,,,,,,,,,
,028282,,,,,,,,,,
,030091,,,,,,,,,,
,003381,,,,,,,,,,
,001591,,,,,,,,,,
,003622,,,,,,,,,,
,003511,,,,,,,,,,
,003501,,,,,,,,,,
,003501,,,,,,,,,,
,001631,,,,,,,,,,
,016341,,,,,,,,,,
,007775,,,,,,,,,,
,007451,,,,,,,,,,
,022021,,,,,,,,,,
,035381,,,,,,,,,,
,034665,,,,,,,,,,
,014515,,,,,,,,,,
,408421,,,,,,,,,,
,024191,,,,,,,,,,
,412561,,,,,,,,,,
,039512,,,,,,,,,,
,048041,,,,,,,,,,
,027251,,,,,,,,,,
,022431,,,,,,,,,,
,078721,,,,,,,,,,
,088891,,,,,,,,,,
,088891,,,,,,,,,,
,057452,,,,,,,,,,
,031385,,,,,,,,,,
,098531,,,,,,,,,,
,084671,,,,,,,,,,
,098591,,,,,,,,,,
,03420UT,,,,,,,,,,
,034201,,,,,,,,,,
,078741,,,,,,,,,,
,097231,,,,,,,,,,
,05946UT,,,,,,,,,,
,059461,,,,,,,,,,
,031331,,,,,,,,,,
,031331,,,,,,,,,,
,004721,,,,,,,,,,
,004901,,,,,,,,,,
,068273,,,,,,,,,,
,021821,,,,,,,,,,
,087021,,,,,,,,,,
,047511,,,,,,,,,,
,059741,,,,,,,,,,
,039581,,,,,,,,,,
,033652,,,,,,,,,,
,035711,,,,,,,,,,
,028091,,,,,,,,,,
,03824UT,,,,,,,,,,
,038241,,,,,,,,,,
,023081,,,,,,,,,,
,038331,,,,,,,,,,
,038331,,,,,,,,,,
,412821,,,,,,,,,,
,065791,,,,,,,,,,
,040121,,,,,,,,,,
,054491,,,,,,,,,,
,087131,,,,,,,,,,
,036711,,,,,,,,,,
,403241,,,,,,,,,,
,018661,,,,,,,,,,
,049711,,,,,,,,,,
,033531,,,,,,,,,,
,041171,,,,,,,,,,
,036322,,,,,,,,,,
,031871,,,,,,,,,,
,031872,,,,,,,,,,
,403531,,,,,,,,,,
,412681,,,,,,,,,,
,403611,,,,,,,,,,
,042981,,,,,,,,,,
,041861,,,,,,,,,,
,403491,,,,,,,,,,
,017521,,,,,,,,,,
,017531,,,,,,,,,,
,403561,,,,,,,,,,
,041881,,,,,,,,,,
,062011,,,,,,,,,,
,403621,,,,,,,,,,
,093111,,,,,,,,,,
,007011,,,,,,,,,,
,403641,,,,,,,,,,
,044671,,,,,,,,,,
,029791,,,,,,,,,,
,083971,,,,,,,,,,
,093131,,,,,,,,,,
,082011,,,,,,,,,,
,074532S,,,,,,,,,,
,024372S,,,,,,,,,,
,024377PT,,,,,,,,,,
,408931,,,,,,,,,,
,044902,,,,,,,,,,
,007592,,,,,,,,,,
,074943S,,,,,,,,,,
,046493S,,,,,,,,,,
,048005,,,,,,,,,,
,049035,,,,,,,,,,
,053392,,,,,,,,,,
,093182,,,,,,,,,,
,080251,,,,,,,,,,
,080261,,,,,,,,,,
,080271,,,,,,,,,,
,054205,,,,,,,,,,
,028481,,,,,,,,,,
,057881,,,,,,,,,,
,404612,,,,,,,,,,
,072511,,,,,,,,,,
,060405,,,,,,,,,,
,062122,,,,,,,,,,
,062281,,,,,,,,,,
,063351,,,,,,,,,,
,046212,,,,,,,,,,
,409001,,,,,,,,,,
,084781,,,,,,,,,,
,010631,,,,,,,,,,
,06434UT,,,,,,,,,,
,064341,,,,,,,,,,
,06445UT,,,,,,,,,,
,064451,,,,,,,,,,
,064625,,,,,,,,,,
,064785,,,,,,,,,,
,03874M,,,,,,,,,,
,065085,,,,,,,,,,
,036561,,,,,,,,,,
,065361,,,,,,,,,,
,031815,,,,,,,,,,
,010502,,,,,,,,,,
,071011,,,,,,,,,,
,071012,,,,,,,,,,
,070615,,,,,,,,,,
,094291,,,,,,,,,,
,094261,,,,,,,,,,
,407941,,,,,,,,,,
,030321,,,,,,,,,,
,070941,,,,,,,,,,
,044871,,,,,,,,,,
,035171,,,,,,,,,,
,069871,,,,,,,,,,
,070911,,,,,,,,,,
,025041,,,,,,,,,,
,070741,,,,,,,,,,
,070742,,,,,,,,,,
,069971,,,,,,,,,,
,065591,,,,,,,,,,
,06561UT,,,,,,,,,,
,065611,,,,,,,,,,
,070011,,,,,,,,,,
,075012S,,,,,,,,,,
,075022S,,,,,,,,,,
,012091,,,,,,,,,,
,012111,,,,,,,,,,
,012111,,,,,,,,,,
,406721,,,,,,,,,,
,022511,,,,,,,,,,
,412851,,,,,,,,,,
,079551,,,,,,,,,,
,079481,,,,,,,,,,
,073621,,,,,,,,,,
,412861,,,,,,,,,,
,076081,,,,,,,,,,
,076131,,,,,,,,,,
,074712S,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
