Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On
GA,2014,086185,#5,ABELIA SUNNY ANNIVERSARY TM,EVS,06, 21.00 ,,, 12 , 5 ,     , 12 ,10/01/14  
CT,2014,400343,#3,ABELIA SUNSHNE DAYDRM PP20961,EVS,06, 17.75 ,BUDS & BLOOMS,,     , 5 , 103 ,     ,          
GA,2014,400343,#3,ABELIA SUNSHNE DAYDRM PP20961,EVS,06, 16.75 ,,, 10 , 5 , 763 ," 1,124 ",05/15/15  
OR,2014,031825,#5,ACER PAL SHIN DESHOJO,TRE,05, 58.00 ,-,"48""H", 5 , 5 , 5 , 5 ,05/01/15  
GA,2013,006241,#1,ACHILLEA MILL SUMMER BERRIES,PRN,03, 5.10 ,,CAN FULL,     , 10 ,     , 4 ,04/01/15  
GA,2014,072435,#5,AGAPANTHUS ORI BLACK PANTHA,EVS,07, 19.25 ,,, 13 , 5 ,     , 13 ,04/01/15  
CT,2014,018561S,SuperOne TM,AGASTACHE AUR-HYB TANGO,PRN,06, 8.50 ,,,     , 10 ,     , 57 ,10/01/14  
CA,2013,074122,#2,AGAVE BRACTEOSA CALAMAR,CAC,08, 18.75 ,-,8''S,     , 5 , 325 , 325 ,05/01/15  
CA,2013,074172,#2,AGAVE UTAHENSIS SSP UTAHENSIS,CAC,06, 18.75 ,-,8''S,     , 5 ,     , 25 ,05/01/15  
GA,2014,087422,#2,ALOCASIA IVORY COAST PPAF,PRN,09, 15.50 ,,, 56 , 5 ,     , 56 ,04/01/15  
GA,2014,087432,#2,ALOCASIA SERENGETI PPAF,PRN,09, 15.50 ,,, 30 , 5 ,     , 30 ,04/01/15  
CA,2014,066382,#2,ALST ROCK & ROLL R PP21001,PRN,08, 14.75 ,,,     , 5 ,     ," 2,158 ",03/01/15  
OR,2013,039021,#1,ANEMONE X WILD SWAN TM PP23132,PRN,06, 8.00 ,-,CAN FULL,     , 10 ," 1,119 "," 2,287 ",06/01/15  
GA,2013,039021,#1,ANEMONE X WILD SWAN TM PP23132,PRN,06, 8.00 ,,CAN FULL, 96 , 10 ,     , 96 ,05/01/15  
OR,2013,039022,#2,ANEMONE X WILD SWAN TM PP23132,PRN,06, 16.50 ,-,CAN FULL,     , 5 , 173 ,     ,          
GA,2013,039022,#2,ANEMONE X WILD SWAN TM PP23132,PRN,06, 16.50 ,,, 72 , 5 ,     , 87 ,05/15/15  
OR,2013,055485,#5,ARALIA CORDATA GOTEMBA,PRN,04, 23.50 ,-,,     , 5 , 1 ,     ,          
CT,2014,017601,#1,ASTILBE VISION IN WHITE P18965,PRN,04, 5.10 ,-,,     , 10 , 80 , 80 ,10/01/14  
CT,2014,017602,#2,ASTILBE VISION IN WHITE P18965,PRN,04, 7.50 ,,,     , 5 ,     , 6 ,10/01/14  
CA,2013,078751S,SuperOne TM,AZ BLM-A-THON TM LVNDR PP21476,RHO,06, 10.50 ,-,"8""H - 8""S",     , 10 , 10 , 10 ,11/25/14  
