Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,003565,AUCUBA MR GOLDSTRIKE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035233,BER T GOLDEN RUBY R PP16203,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012105,BER T HELMOND PILLAR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035242,BER T PYGMY RUBY TM,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,401252,BUD FLTBY PTE R BL HEVN P22069,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,407622S,BUD LO&BEHOLD BLU CHIP JR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,003015,BUXUS CHICAGOLAND GREEN R,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,033902,EUO F EMERALD GAIETY,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,034502,EUO F MOONSHADOW,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,034502,EUO F MOONSHADOW,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,034805,EUO J AUREO MARGINATUS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,034905,EUO J AUREOVARIEGATUS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035055,EUO J GREEN SPIRE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035102,EUO J MICROPHYLLUS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035205,EUO J SILVER KING,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035405ES,EUO KIA MANHATTAN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074823S,FORSYTHIA X SHOW OFF TM P19321,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001421,GR-ACORUS GR OGON,GRS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,059031,GR-ACORUS GRAMINEUS OBOROZUKI,GRS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,088952,GR-PENN ALO BRGNDY BNNY P21917,GRS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,092752,HYD BLUE ENCHANTRESS R PP25209,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
