Item,Description,Size,Form,Whs
028342,ABELIA GRA KALEIDOSCOPE P16988,2,,170000
000135ST,ABUTILON ROSEUS,5,ST,170000
068812,AGAVE POTATORUM KISSHO KAN,2,,170000
066382,ALST ROCK & ROLL R PP21001,2,,170000
002691,ARMERIA MAR COTTON TAIL,1,,160000
003151,ASPARAGUS MYERS,1,,170000
007775,AZALEA EX GOLDEN FLARE,5,,160000
002072,AZALEA GR SILVER SWORD,2,,160000
012701,BOUG BARBARA KARST,1,ST,170000
013055BH,BOUG PURPLE QUEEN R,5,BH,170000
074412S,BUD LO&BEHLD R BLU CHP PP19991,2S,,170000
028832,CEPHALOTAXUS HAR PROSTRATA,2,,160000
074451S,CHAEN DBLTKE TM PK STRM P20920,1S,,170000
026001,CITRUS IMPROVED MEYER LEMON,1,,170000
025602PT,CITRUS KUMQUAT NAGAMI,2,PT,170000
024682,CITRUS MEXICAN THORNLESS LIME,2,,170000
027155,CLEM ARMANDII,5,ST,160000
027061,CLEM X MULTI-BLUE,1,ST,160000
030442,CLIVIA BELGIAN HYB ORANGE,2,,170000
028842,CLIVIA BELGIUM HYB YELLOW,2,,170000
031732,CORD FESTIVAL TM BRGNDY P14224,2,,170000
083041,CUPHEA HYS ITSY BITSY R LILAC,1,,170000
088912,CYNARA SCO GREEN GLOBE,2,,170000
050612,DRIMYS LANCEOLATA,2,,160000
049845TR,DRIMYS WIN PEWTER PILLAR R,5,TR,160000
062005,ENSETE MAURELII,5,,170000
017961,ERICA KRAMER'S RED,1,,160000
032081,ERICA SILBERSCHMELZE,1,,160000
024405SP,EUGENIA MYR LEMON SWIRL R,5,SP,170000
03540MES,EUO KIA MANHATTAN,10,ES,170000
035645,FATSIA JAPONICA,5,,170000
077431S,FORS X SHOW OFF TM STARLT PAF,1S,,160000
089221,GAILLARDIA FANFARE BLZE P23494,1,,170000
036441,GAILLARDIA ORNGS&LEMONS P17092,1,,170000
022201,GR-PENN SET FIREWORKS PP18504,1,,170000
051031,HEBE PIMELEOIDES QUICKSILVER,1,,160000
051032,HEBE PIMELEOIDES QUICKSILVER,2,,160000
089051,HELLE WINDCLIFF DBL PINK SDLNG,1,,160000
039991,HELLE X IVORY PRINCE PP16199,1,,160000
028871,HEUCHERA MARMALADE PP15945,1,,160000
045721,HEUCHERA MIDNIGHT ROSE PP18551,1,,160000
046641,HEUCHERA VIL CARAMEL PP16560,1,,160000
041205,HIB R FULLMOON R,5,,170000
041305,HIB R HULA GIRL,5,,170000
056361S,HOLBOELLIA COR CATHEDRAL GEM,1S,,160000
092752,HYD M ENCHANTRESS R PPAF,2,,160000
041702,HYD PETIOLARIS,2,ST,160000
092652,ILEX EMRLD COLONNADE R PP23905,2,,160000
071782,JASMINUM SAMBAC,2,,170000
054091,JUSTICIA BRANDEGEANA,1,,170000
056631,LANTANA CHAPEL HILL YLW P19548,1,,170000
057205PT,LANTANA TANGERINE TM,5,PT,170000
021471,LAURUS NOBILIS EMERALD WAVE R,1,,160000
021472,LAURUS NOBILIS EMERALD WAVE R,2,,160000
060197TR,MAG X YELLOW BIRD,7,TR,160000
060805,MAHONIA ORANGEE FLAME,5,,160000
05898MT,MALUS X HONEYCRISP TM APPLE,10T,TR,170000
061195,MAN PNK PRFT R P11787-P6300547,5,ST,170000
057092,MAN SUN PAR R PRTY CRMN P16449,2,,170000
038502,MICROBIOTA FUZZBALL TM P20012,2,,160000
06304EGL,OLEA LITTLE OLLIE R,"7""",TGL,170000
079441,PENST PRPLE RIDING HOOD P23067,1,,170000
063861,PENSTEMON GENT PRPL N PRETTY R,1,,160000
033275,PICEA GL DENSATA WELLS' WEEPER,5,,160000
01939M,PICEA PUN THE BLUES,10,,160000
065251,PIERIS J PURITY,1,,160000
065301,PIERIS J VALLEY ROSE,1,,160000
065085,PIERIS X FOREST FLAME,5,,160000
06797MT,PRUNUS PER NECTAR PEACH,10T,TR,170000
06167MT,PRUNUS X BEAUTY PLUM,10T,TR,170000
06142MT,PRUNUS X FLAVORTOP NECTARINE,10T,TR,170000
05996MT,PRUNUS X SANTA ROSA PLUM,10T,TR,170000
06799MT,PRUNUS X SNOW QUEEN NECTARINE,10T,TR,170000
009205,RHOD (H-2) CUNNINGHAM'S WHITE,5,,160000
009452,RHOD (H-2) IMPEDITUM,2,,160000
079382,RUBUS RSPBRY SHRTCKE TM P22141,2,,170000
025621,RUMEX SANGUINEUS,1,,170000
070465,SALIX CAP KILMARNOCK(S C PEND),5,,160000
099451,SALVIA HTWV BLAZE TM PP24151,1,,170000
094271,SALVIA HTWV GLITTER TM PP24152,1,,170000
094281,SALVIA HTWV SPARKLE TM PP24154,1,,170000
019992S,SAMBUCUS BLK BEAUTY TM PP12305,2S,,160000
063671,SEDUM RUBROTINCTUM AURORA,1,,170000
074681S,SYRINGA BLOOMERNG R PUR P20575,1S,,160000
072022,SYRINGA PATULA MISS KIM,2,,160000
072025PT,SYRINGA PATULA MISS KIM,5,PT,160000
019442,THUJA PL GRN GLOBE (GRNE KGEL),2,,160000
022142,THUNBERGIA AL BLUSHING SUSIE,2,ST,170000
073141,TULBAGHIA VIO TRICOLOR,1,,170000
081712,VACCINIUM PEACH SORBET TM PPAF,2,,170000
094841,VERBENA LILACINA DE LA MINA,1,,170000
