Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000521,ACER JAPONICUM ACONITIFOLIUM,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001565,AESCULUS PARVIFLORA,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023941,BER CRIMSON RUBY R PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023941,BER CRIMSON RUBY R PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012032,BER GOLDN NUGGET TM P9577 CBR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012032,BER GOLDN NUGGET TM P9577 CBR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074742S,BER SUNJOY R GOLD PILLAR PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074742S,BER SUNJOY R GOLD PILLAR PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,002241,BER T CONCORDE,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,002241,BER T CONCORDE,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012051,BER T CRIMSON PYGMY,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035232,BER T GOLDEN RUBY R PP16203,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035232,BER T GOLDEN RUBY R PP16203,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,062931,BER T ORANGE ROCKET PP18411,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,062932,BER T ORANGE ROCKET PP18411,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035241,BER T PYGMY RUBY TM,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035241,BER T PYGMY RUBY TM,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012201,BER T ROSE GLOW,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012201,BER T ROSE GLOW,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012205,BER T ROSE GLOW,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035381,BRUNNERA MAC JACK FROST P13859,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035381,BRUNNERA MAC JACK FROST P13859,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013651,BRUNNERA MAC VARIEGATA,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013785,BUDDLEJA DAV BLACK KNIGHT,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074405,BUDDLEJA X MISS RUBY PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,003015,BUXUS CHICAGOLAND GREEN R,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013821,BUXUS GREEN MOUNTAIN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013825,BUXUS GREEN MOUNTAIN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013891,BUXUS GREEN VELVET,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013831,BUXUS MIC WINTER GEM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013835,BUXUS MIC WINTER GEM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013835,BUXUS MIC WINTER GEM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,017385,CEPHALOTAXUS HAR FASTIGIATA,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,026002PT,CITRUS IMPROVED MEYER LEMON,CIT,284,81,0,0,81,$8.50 ,,5/1/2014
550000,025602PT,CITRUS KUMQUAT NAGAMI,CIT,284,81,0,0,81,$8.50 ,,5/1/2014
550000,028501,COT APICULATUS,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,028551,COT APICULATUS TOM THUMB,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
