Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000805,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,003511,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,003531,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,400821,,,,,,,,,,
,001813,,,,,,,,,,
,008452,,,,,,,,,,
,025212,,,,,,,,,,
,013051,,,,,,,,,,
,401181,,,,,,,,,,
,407622S,,,,,,,,,,
,077392S,,,,,,,,,,
,013891,,,,,,,,,,
,013833,,,,,,,,,,
,013902,,,,,,,,,,
,058427,,,,,,,,,,
,401767,,,,,,,,,,
,412561,,,,,,,,,,
,407861,,,,,,,,,,
,046271,,,,,,,,,,
,027221,,,,,,,,,,
,027261,,,,,,,,,,
,027461,,,,,,,,,,
,408502,,,,,,,,,,
,078721,,,,,,,,,,
,018411,,,,,,,,,,
,09859UT,,,,,,,,,,
,412591,,,,,,,,,,
,05968UT,,,,,,,,,,
,004901,,,,,,,,,,
,035621,,,,,,,,,,
,031611,,,,,,,,,,
,412621,,,,,,,,,,
,087021,,,,,,,,,,
,022831,,,,,,,,,,
,077121,,,,,,,,,,
,018221,,,,,,,,,,
,036281,,,,,,,,,,
,057301,,,,,,,,,,
,083621,,,,,,,,,,
,018761,,,,,,,,,,
,036121,,,,,,,,,,
,021221,,,,,,,,,,
,036241,,,,,,,,,,
,036491,,,,,,,,,,
,035711,,,,,,,,,,
,408801,,,,,,,,,,
,037701,,,,,,,,,,
,038241,,,,,,,,,,
,408831,,,,,,,,,,
,023081,,,,,,,,,,
,024091,,,,,,,,,,
,036671,,,,,,,,,,
,089291,,,,,,,,,,
,038681,,,,,,,,,,
,061561,,,,,,,,,,
,061641,,,,,,,,,,
,064261,,,,,,,,,,
,064271,,,,,,,,,,
,064275,,,,,,,,,,
,067281,,,,,,,,,,
,067261,,,,,,,,,,
,414781,,,,,,,,,,
,414811,,,,,,,,,,
,040091,,,,,,,,,,
,040111,,,,,,,,,,
,054491,,,,,,,,,,
,023101,,,,,,,,,,
,029531,,,,,,,,,,
,028871,,,,,,,,,,
,054531,,,,,,,,,,
,025205,,,,,,,,,,
,041205,,,,,,,,,,
,041505,,,,,,,,,,
,041595PT,,,,,,,,,,
,031871,,,,,,,,,,
,006872,,,,,,,,,,
,40353UT,,,,,,,,,,
,016761,,,,,,,,,,
,412681,,,,,,,,,,
,403611,,,,,,,,,,
,068241S,,,,,,,,,,
,042981,,,,,,,,,,
,041861,,,,,,,,,,
,403491,,,,,,,,,,
,017521,,,,,,,,,,
,017531,,,,,,,,,,
,403561,,,,,,,,,,
,062011,,,,,,,,,,
,007011,,,,,,,,,,
,403641,,,,,,,,,,
,029791,,,,,,,,,,
,093131,,,,,,,,,,
,082011,,,,,,,,,,
,041712,,,,,,,,,,
,092752,,,,,,,,,,
,403763,,,,,,,,,,
,086315,,,,,,,,,,
,029923S,,,,,,,,,,
,042562,,,,,,,,,,
,048162,,,,,,,,,,
,045351,,,,,,,,,,
,046875,,,,,,,,,,
,404372,,,,,,,,,,
,024901,,,,,,,,,,
,009081,,,,,,,,,,
,009133PT,,,,,,,,,,
,056951,,,,,,,,,,
,056881,,,,,,,,,,
,057231SPT,,,,,,,,,,
,024461,,,,,,,,,,
,068221,,,,,,,,,,
,028131,,,,,,,,,,
,009671,,,,,,,,,,
,404682,,,,,,,,,,
,059585TR,,,,,,,,,,
,402677,,,,,,,,,,
,061191,,,,,,,,,,
,045011,,,,,,,,,,
,09238UT,,,,,,,,,,
,057082,,,,,,,,,,
,057062,,,,,,,,,,
,061821,,,,,,,,,,
,062281,,,,,,,,,,
,039095,,,,,,,,,,
,044325,,,,,,,,,,
,063662,,,,,,,,,,
,063632,,,,,,,,,,
,032742,,,,,,,,,,
,06540UT,,,,,,,,,,
,066371,,,,,,,,,,
,06536UT,,,,,,,,,,
,402787ES,,,,,,,,,,
,405702,,,,,,,,,,
,009803,,,,,,,,,,
,024582,,,,,,,,,,
,098542S,,,,,,,,,,
,022642S,,,,,,,,,,
,036292,,,,,,,,,,
,036382,,,,,,,,,,
,042822S,,,,,,,,,,
,030902S,,,,,,,,,,
,030903SPT,,,,,,,,,,
,030905PT,,,,,,,,,,
,011622S,,,,,,,,,,
,037863S,,,,,,,,,,
,037863SPT,,,,,,,,,,
,406233,,,,,,,,,,
,406293,,,,,,,,,,
,098583,,,,,,,,,,
,406203,,,,,,,,,,
,070342,,,,,,,,,,
,070042,,,,,,,,,,
,067842,,,,,,,,,,
,079382,,,,,,,,,,
,02913UT,,,,,,,,,,
,039492,,,,,,,,,,
,412691,,,,,,,,,,
,406533S,,,,,,,,,,
,07094UT,,,,,,,,,,
,01182UT,,,,,,,,,,
,087481,,,,,,,,,,
,007301,,,,,,,,,,
,07073UT,,,,,,,,,,
,057161,,,,,,,,,,
,06559UT,,,,,,,,,,
,06561UT,,,,,,,,,,
,06563UT,,,,,,,,,,
,05696UT,,,,,,,,,,
,01189UT,,,,,,,,,,
,075012S,,,,,,,,,,
,072102,,,,,,,,,,
,071905,,,,,,,,,,
,412851,,,,,,,,,,
,047561,,,,,,,,,,
,084842,,,,,,,,,,
,084852,,,,,,,,,,
,407073,,,,,,,,,,
,079551,,,,,,,,,,
,073972,,,,,,,,,,
,407172,,,,,,,,,,
,412881,,,,,,,,,,
,409971,,,,,,,,,,
,077511S,,,,,,,,,,
,017571,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
