Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,028343,ABELIA GRA KALEIDOSCOPE P16988,EVS, 6 , 6 , 6 , 6 , 6 , 36.00 ,,5/1/2014
550000,025692,ABELIA GRA ROSE CREEK,EVS, 8 , 8 , 8 , 8 , 8 , 30.00 ,,5/1/2014
550000,400343,ABELIA SUNSHNE DAYDRM PP20961,EVS, 10 , 10 , 10 , 10 , 10 , 36.00 ,,5/1/2014
550000,000402,ACANTHUS OAK LEAF,PRN, 10 , 10 , 10 , 10 , 10 , 31.00 ,,5/1/2014
550000,400445,ACER PAL RYUSEN PP18501,TRE, 2 , 2 , 2 , 2 , 2 , 140.00 ,,5/1/2014
550000,099571,AGAPANTHUS BABY PETE TMPP21705,EVS, 25 , 25 , 25 , 25 , 25 , 13.99 ,,5/1/2014
550000,050012,AGAPANTHUS BLUE LEAP,DCS, 10 , 10 , 10 , 10 , 10 , 30.00 ,,5/1/2014
550000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS, 15 , 15 , 15 , 15 , 15 , 13.99 ,,5/1/2014
550000,001882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS, 13 , 13 , 13 , 13 , 13 , 30.00 ,,5/1/2014
550000,025222,AGAVE PARRYI VAR TRUNCATA,CAC, 2 , 2 , 2 , 2 , 2 , 45.00 ,,5/1/2014
550000,039021,ANEMONE X WILD SWAN TM PP23132,PRN, 10 , 10 , 10 , 10 , 10 , 14.99 ,,5/1/2014
550000,003562,AUCUBA MR GOLDSTRIKE,EVS, 10 , 10 , 10 , 10 , 10 , 32.00 ,,5/1/2014
550000,003565,AUCUBA MR GOLDSTRIKE,EVS, 10 , 10 , 10 , 10 , 10 , 50.00 ,,5/1/2014
550000,078762S,AZ BLM-A-THON TM DB PK PP21477,RHO, 5 , 5 , 5 , 5 , 5 , 35.00 ,,5/1/2014
550000,078772S,AZ BLM-A-THON TM RED PP21562,RHO, 15 , 15 , 15 , 15 , 15 , 35.00 ,,5/1/2014
550000,078782S,AZ BLM-A-THON TM WHITE PP21512,RHO, 8 , 8 , 8 , 8 , 8 , 35.00 ,,5/1/2014
550000,400972S,AZALEA HOT PINK BETTY TM,RHO, 10 , 10 , 10 , 10 , 10 ,     ,,5/1/2014
550000,401012S,AZALEA PURE WHITE JULIA TM,RHO, 10 , 10 , 10 , 10 , 10 ,     ,,5/1/2014
550000,002242,BER T CONCORDE,DCS, 10 , 10 , 10 , 10 , 10 , 28.00 ,,5/1/2014
550000,012052,BER T CRIMSON PYGMY,DCS, 15 , 15 , 15 , 15 , 15 , 28.00 ,,5/1/2014
550000,035232,BER T GOLDEN RUBY R PP16203,DCS, 15 , 15 , 15 , 15 , 15 , 35.00 ,,5/1/2014
550000,012102,BER T HELMOND PILLAR,DCS, 15 , 15 , 15 , 15 , 15 , 28.00 ,,5/1/2014
550000,062932,BER T ORANGE ROCKET PP18411,DCS, 12 , 12 , 12 , 12 , 12 , 28.00 ,,5/1/2014
550000,035242,BER T PYGMY RUBY TM,DCS, 15 , 15 , 15 , 15 , 15 , 30.00 ,,5/1/2014
550000,012202,BER T ROSE GLOW,DCS, 20 , 20 , 20 , 20 , 20 , 28.00 ,,5/1/2014
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS, 30 , 30 , 30 , 30 , 30 , 35.00 ,,5/1/2014
550000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS, 10 , 10 , 10 , 10 , 10 , 35.00 ,,5/1/2014
550000,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS, 10 , 10 , 10 , 10 , 10 , 35.00 ,,5/1/2014
550000,407622S,BUD LO&BEHOLD BLU CHIP JR,DCS, 10 , 10 , 10 , 10 , 10 , 35.00 ,,5/1/2014
550000,013785,BUDDLEJA DAV BLACK KNIGHT,DCS, 6 , 6 , 6 , 6 , 6 , 47.00 ,,5/1/2014
550000,013763,BUDDLEJA DAV PETITE PLUM R,DCS, 5 , 5 , 5 , 5 , 5 , 35.00 ,,5/1/2014
550000,013563,BUDDLEJA DAV ROYAL RED,DCS, 5 , 5 , 5 , 5 , 5 , 35.00 ,,5/1/2014
550000,013822,BUXUS GREEN MOUNTAIN,EVS, 2 , 2 , 2 , 2 , 2 , 35.00 ,,5/1/2014
550000,013822,BUXUS GREEN MOUNTAIN,EVS, 20 , 20 , 20 , 20 , 20 , 35.00 ,,5/1/2014
550000,013825CN,BUXUS GREEN MOUNTAIN,EVS, 20 , 20 , 20 , 20 , 20 , 95.00 ,,5/1/2014
550000,013895,BUXUS GREEN VELVET,EVS, 20 , 20 , 20 , 20 , 20 , 60.00 ,,5/1/2014
550000,013832,BUXUS MIC WINTER GEM,EVS, 50 , 50 , 50 , 50 , 50 , 35.00 ,,5/1/2014
550000,013833,BUXUS MIC WINTER GEM,EVS, 75 , 75 , 75 , 75 , 75 , 40.00 ,,5/1/2014
