Branch,item,Description,,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
New ,413391,ASTILBE LTTLE VISN PRPLPP21855,,284,81,0,0,81,$8.50 ,,5/1/2014
New ,400863,AZALEA EX ARNESON RUBY,,39,4,0,0,4,$18.50 ,,
New ,400873,AZALEA NL CANDY LIGHTS PPAF,,660,42,0,0,42,$8.50 ,,
New ,400883,AZALEA NL LEMON LIGHTS,,,,,,,,,
New ,400903,AZALEA NL TRI-LIGHTS TM PPAF,,,,,,,,,
New ,408391,CAMPANULA CAR RAPIDO BLUE,,,,,,,,,
New ,408401,CAMPANULA CAR RAPIDO WHITE,,,,,,,,,
New ,414542TE,CLEM BLVRD R CHROKEE TM P24171,,,,,,,,,
New ,414522TE,CLEM BLVRD R FLEURI TM PP24172,,,,,,,,,
New ,414532TE,CLEM BLVRD R NINON TM PPAF,,,,,,,,,
New ,414552TE,CLEM BLVRD R PRSNNE TM PP16069,,,,,,,,,
New ,414562TE,CLEM BLVRD R REBECCA TM P21583,,,,,,,,,
New ,414572TE,CLEM BLVRD R ZARA TM PPAF,,,,,,,,,
New ,414582TE,CLEM FLORA TM BIJOU TM PP15991,,,,,,,,,
New ,414602TE,CLEM RGL R DMANTINA TM PP20638,,,,,,,,,
New ,414612TE,CLEM RGL R EMPRESS TM P16072,,,,,,,,,
New ,401911S,COREOPSIS DAZZLESTAR PPAF,,,,,,,,,
New ,068111,EUPHORBIA ASCOT RAINBOW PPAF,,,,,,,,,
New ,080751,GARDENIA SUMMER SNOW R PPAF,,,,,,,,,
New ,080755,GARDENIA SUMMER SNOW R PPAF,,,,,,,,,
New ,407673,GR-DESCHAMPSIA CAE PIXIE FNTN,,,,,,,,,
New ,405003,GR-PAN VIR CHEYENNE SKY,,,,,,,,,
New ,405023,GR-PAN VIR RUBY RIBBONS P17944,,,,,,,,,
New ,40156UT,HEDERA HELIX DUCKFOOT,,,,,,,,,
New ,00584UT,HEDERA HELIX GLACIER,,,,,,,,,
New ,414781,HEM EVERYDAYLILY CREAM PPAF,,,,,,,,,
New ,414791,HEM EVERYDAYLILY PINK WING PAF,,,,,,,,,
New ,414811,HEM EVERYDAYLILY VLT IVORY PAF,,,,,,,,,
New ,414811,HEM EVERYDAYLILY VLT IVORY PAF,,,,,,,,,
New ,091712S,HIB SYR LIL' KIM TM VIOLET,,,,,,,,,
New ,412681,HOSTA CURLY FRIES,,,,,,,,,
New ,408931,IBERIS SEMP WHITEOUT,,,,,,,,,
New ,408931,IBERIS SEMP WHITEOUT,,,,,,,,,
New ,408931,IBERIS SEMP WHITEOUT,,,,,,,,,
New ,404132S,ILEX VERT LITTLE GOBLIN TM,,,,,,,,,
New ,404143,ILEX VERT WILDFIRE TM,,,,,,,,,
New ,404362,LAG PURPLE MAGIC TM PPAF,,,,,,,,,
