Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,400443,ACER PAL RYUSEN PP18501,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,05908UT,AQUILEGIA C LITTLE LANTERNS,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012102,BER T HELMOND PILLAR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012315,BETULA JACQUEMONTII,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,407622S,BUD LO&BEHOLD BLU CHIP JR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,401212S,BUDDLEJA BLUEBERRY PETITE TM,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,090781,BUXUS GOLDEN TRIUMPH,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,094071,BUXUS MIC MORRIS MIDGET,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023305,CEDRUS ATLANTICA GLAUCA,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023325,CEDRUS ATLANTICA HORSTMANN,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023355,CEDRUS DEODARA,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023655,CHAM NOOT PENDULA,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023905,CHAM OBT FILICOIDES,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,02403UT,CHAM PIS FIL GOLDEN CHARM,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023822,CHAM PIS SQUARROSA MINIMA,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,027431,CLEM MONTANA FREDA,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,055211,CLEM SIEBOLDII,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,051481,CLEM VANCOUVER TM DANIELLE,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,046271,CLEM VANCOUVER TM FRGRNT STAR,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,048741,CLEM VANCOUVER TM STARRY NGHTS,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,048741,CLEM VANCOUVER TM STARRY NGHTS,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,027211,CLEM VIT ETOILE VIOLETTE,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,015901,CLEM X BLUE LIGHT R PP15953,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,027221,CLEM X COMTESSE DE BOUCHAUD,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,027011,CLEM X ERNEST MARKHAM,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,027011,CLEM X ERNEST MARKHAM,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,044481,CLEM X JACKMANII SUPERBA,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
