Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,001022,ACER PAL SANGOKAKU,TRE, 3 , 3 , 3 , 3 , 3 , 69.99 ,,5/1/2014
550000,001025,ACER PAL SANGOKAKU,TRE, 5 , 5 , 5 , 5 , 5 , 99.99 ,,5/1/2014
550000,031825,ACER PAL SHIN DESHOJO,TRE, 5 , 5 , 5 , 5 , 5 , 99.99 ,,5/1/2014
550000,003151,ASPARAGUS MYERS,FRN, 20 , 20 , 20 , 20 , 20 , 14.99 ,,5/1/2014
550000,003152,ASPARAGUS MYERS,FRN, 10 , 10 , 10 , 10 , 10 , 29.99 ,,5/1/2014
550000,007072,AZALEA EX CANNON'S DOUBLE,RHO, 5 , 5 , 5 , 5 , 5 , 29.99 ,,5/1/2014
550000,007242,AZALEA EX DAWN'S CHORUS,RHO, 5 , 5 , 5 , 5 , 5 , 29.99 ,,5/1/2014
550000,007775,AZALEA EX GOLDEN FLARE,RHO, 5 , 5 , 5 , 5 , 5 , 45.99 ,,5/1/2014
550000,008545,AZALEA EX RED SUNSET,RHO, 5 , 5 , 5 , 5 , 5 , 45.99 ,,5/1/2014
550000,047652,AZALEA FRAGRANT STAR,RHO, 10 , 10 , 10 , 10 , 10 , 29.99 ,,5/1/2014
550000,012012,BER T CHERRY BOMB R CPBR 3488,DCS, 10 , 10 , 10 , 10 , 10 , 26.99 ,,5/1/2014
550000,012212,BER T ROYAL BURGUNDY R P9461,DCS, 10 , 10 , 10 , 10 , 10 , 26.99 ,,5/1/2014
550000,013051,BOUG PURPLE QUEEN R,VIN, 12 , 12 , 12 , 12 , 12 , 16.99 ,,5/1/2014
550000,401232S,BUD TEMPTATIONS TM COTTON CNDY,DCS, 10 , 10 , 10 , 10 , 10 , 19.99 ,,5/1/2014
550000,401262S,BUD TEMPTATIONS TM LAVNDR PTE,DCS, 10 , 10 , 10 , 10 , 10 , 19.99 ,,5/1/2014
550000,024752PT,CITRUS BEARSS SEEDLESS LIME,CIT, 8 , 8 , 8 , 8 , 8 , 59.99 ,,5/1/2014
550000,021861,CLEM SAPPHIRE INDIGO TMPP17012,VIN, 10 , 10 , 10 , 10 , 10 , 19.99 ,,5/1/2014
