Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000845,ACER PAL EMPEROR I R,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,033215,ACER PAL KAGIRI NISHIKI,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,010395ST,ACER PAL RED DRAGON,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,018332,ACER PAL SHISHIGASHIRA,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000655,ACER PALMATUM,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,008302,AZALEA EX KLONDYKE,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074741S,BER SUNJOY R GOLD PILLAR PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012011,BER T CHERRY BOMB R CPBR 3488,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012052,BER T CRIMSON PYGMY,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,062931,BER T ORANGE ROCKET PP18411,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012202,BER T ROSE GLOW,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,024715,BETULA N SUMR CASCADE PP15150,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012425MU,BETULA NIGRA,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,077412S,BUD LO&BEHLD R PRPL HAZE PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013773,BUDDLEJA DAV PETITE INDIGO R,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013763,BUDDLEJA DAV PETITE PLUM R,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013793,BUDDLEJA DAV PINK DELIGHT,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013563,BUDDLEJA DAV ROYAL RED,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,003012,BUXUS CHICAGOLAND GREEN R,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013705,BUXUS MIC FAULKNER,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,022711,CAMPSIS BALBOA SUNSET R,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023587,CERCIS CAN FOREST PANSY,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023527,CERCIS CHIN AVONDALE,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,021861,CLEM SAPPHIRE INDIGO TMPP17012,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,027735,CORNUS ALBA ELEGANTISSIMA,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,027625,CORNUS X CONSTELLATION R,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,027585,CORNUS X STELLAR PINK R,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,030515,CUP LEY EMERALD ISLE R,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,031902,ELAEAGNUS EBBINGEI,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,032162,ERICA ATROPURPUREA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,033602,EUO ALATUS COMPACTUS,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,034802,EUO J AUREO MARGINATUS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035052,EUO J GREEN SPIRE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035202,EUO J SILVER KING,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074953S,ILEX X CASTLE SPIRE R PP14310,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074943S,ILEX X CASTLE WALL TM PP14308,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,053305,JUN SC WICHITA BLUE,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,053655,JUN V BLUE ARROW,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,059191,LORO C SIZZLING PINK,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,060405,MAG STELLATA ROYAL STAR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,062225,NAND D SIENNA SUNRISE R P14693,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,062332,NAND DOM HARBOUR DWARF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,064851,PHOTINIA X FRASERI,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,019371,PICEA GL CONICA TINY TOWER R,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,066885,PRUNUS CER THUNDERCLOUD,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,067151,PRUNUS LAUR OTTO LUYKEN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,067172,PRUNUS LAUR SCHIPKAENSIS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,405527,PRUNUS SARGENTII PINK FLAIR R,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,066919,PRUNUS SER KWANZAN,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,069137,PYRUS ARISTOCRAT R,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,069455,QUERCUS PALUSTRIS,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,036292,ROSA FLWR CAR R AMBER PPAF,ROS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,069782,ROSA FLWR CAR R PINK,ROS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,071602,ROSA FLWR CAR R RED P11308,ROS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,089112,ROSA SUNROSA TM RED,ROS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,089122,ROSA SUNROSA TM YELLOW,ROS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074152,RUBUS TRIPLE CROWN BLACKBERRY,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,072022,SYRINGA PATULA MISS KIM,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012595,THUJA GREEN GIANT,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,073015,THUJA OC EMERALD,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,072892,THUJA OC RHEINGOLD,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,407083,VACCINIUM X CHIPPEWA,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,407302,VITIS LAB TRAMINETTE,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,077231,YUCCA FIL GOLDEN SWORD,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
