Branch,item,Description,,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
2015,047892,DAPHNE MOONLIGHT PARFT R PPAF,,284,81,0,0,81,$8.50 ,,5/1/2014
    ,037711,GARDENIA CHUCK HAYES,,39,4,0,0,4,$18.50 ,,
2015,080741,JASMINUM SUMMER SOUL TM PPAF,,660,42,0,0,42,$8.50 ,,
2015,080742,JASMINUM SUMMER SOUL TM PPAF,,,,,,,,,
2015,412591,DIAN WHETMAN STARS STARGAZER,,,,,,,,,
2015,412591,DIAN WHETMAN STARS STARGAZER,,,,,,,,,
2015,412591,DIAN WHETMAN STARS STARGAZER,,,,,,,,,
2015,412591,DIAN WHETMAN STARS STARGAZER,,,,,,,,,
2015,412601,DIAN WHETMAN STARS SUPERNOVA,,,,,,,,,
2015,412601,DIAN WHETMAN STARS SUPERNOVA,,,,,,,,,
2015,412601,DIAN WHETMAN STARS SUPERNOVA,,,,,,,,,
2015,412601,DIAN WHETMAN STARS SUPERNOVA,,,,,,,,,
2014,090221,DIANTHUS COSMIC TM PK SWRL PAF,,,,,,,,,
2014,090211,DIANTHUS COSMIC TM RD SWRL PAF,,,,,,,,,
    ,404431,LAVAN INT PHENOMENAL PPAF,,,,,,,,,
    ,404432,LAVAN INT PHENOMENAL PPAF,,,,,,,,,
2014,074231,LAVAN INT RIVERINA TM THOMAS,,,,,,,,,
2014,086691,LAVAN PEN WITH LOVE TM PP22709,,,,,,,,,
2014,086691,LAVAN PEN WITH LOVE TM PP22709,,,,,,,,,
2014,068221,LAVANDULA ANG MELISSA LILAC,,,,,,,,,
2014,068221,LAVANDULA ANG MELISSA LILAC,,,,,,,,,
2014,088871,LAVANDULA STO SILVER ANOUK,,,,,,,,,
2015,412901,VIOLA MGNFI SCNT TM SNY JM PAF,,,,,,,,,
2014,400343,ABELIA SUNSHNE DAYDRM PP20961,,,,,,,,,
2014,080835,CALYCANTHUS APHRODITE PPAF,,,,,,,,,
2014,080831S,CALYCANTHUS APHRODITE PPAF,,,,,,,,,
2014,080835,CALYCANTHUS APHRODITE PPAF,,,,,,,,,
2014,080835,CALYCANTHUS APHRODITE PPAF,,,,,,,,,
2015,090182S,CEPHALANTHUS SUGAR SHCK TM PAF,,,,,,,,,
2015,090185,CEPHALANTHUS SUGAR SHCK TM PAF,,,,,,,,,
2015,090183S,CEPHALANTHUS SUGAR SHCK TM PAF,,,,,,,,,
2014,055535,CLETHRA BARBINERVIS VARIEGATA,,,,,,,,,
2014,097912S,GARDENIA PINWHEEL R PP22510,,,,,,,,,
New ,080751,GARDENIA SUMMER SNOW R PPAF,,,,,,,,,
New ,080755,GARDENIA SUMMER SNOW R PPAF,,,,,,,,,
2015,086361S,LONICERA P SCENTSATION PP16240,,,,,,,,,
2014,059635TR,MAG X ROSE MARIE,,,,,,,,,
2014,413423,ROSA BEST KEPT SECRET PPTBS,,,,,,,,,
2014,406273,ROSA FRNCIS MEILLAND TM P19970,,,,,,,,,
2014,406233,ROSA TAHITIAN TREASURE TM,,,,,,,,,
2014,406293,ROSA TEQUILA GOLD TM PP18657,,,,,,,,,
    ,414683,SAMBUCUS CANADENSIS ADAMS,,,,,,,,,
    ,406747,STYRAX JAP SNOWCONE,,,,,,,,,
2014,086435,SYRINGA BLOOMERNG R DK PPL PAF,,,,,,,,,
2014,086431S,SYRINGA BLOOMERNG R DK PPL PAF,,,,,,,,,
2014,086433S,SYRINGA BLOOMERNG R DK PPL PAF,,,,,,,,,
New ,406801S,SYRINGA BLOOMERNG R PNK PRFM,,,,,,,,,
New ,406803S,SYRINGA BLOOMERNG R PNK PRFM,,,,,,,,,
New ,406802S,SYRINGA BLOOMERNG R PNK PRFM,,,,,,,,,
2015,086423S,SYRINGA SCNT & SNSIBILTY TM PK,,,,,,,,,
2014,042191,SYRINGA X OLD GLORY NA62974,,,,,,,,,
2014,042192,SYRINGA X OLD GLORY NA62974,,,,,,,,,
2014,042195,SYRINGA X OLD GLORY NA62974,,,,,,,,,
