Branch,item,Description,,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
2015,08582UT,DISPORUM CANT MOONLIGHT P24556,,284,81,0,0,81,$8.50 ,,5/1/2014
2015,085821,DISPORUM CANT MOONLIGHT P24556,,39,4,0,0,4,$18.50 ,,
2015,085822,DISPORUM CANT MOONLIGHT P24556,,660,42,0,0,42,$8.50 ,,
2015,085821,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,
2015,085821,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,
    ,098612ST,ABUTILON TIGER EYE,,,,,,,,,
2015,412102,AGAPANTHUS PRAE QUEEN MUM PPAF,,,,,,,,,
2014,070381,AGAPANTHUS RANCHO WHITE,,,,,,,,,
2015,412802,ALOCASIA EBONY PPAF,,,,,,,,,
2014,087422,ALOCASIA IVORY COAST PPAF,,,,,,,,,
2014,087462,ALOCASIA MOROCCO PPAF,,,,,,,,,
2014,087452,ALOCASIA NAIROBI NIGHTS PPAF,,,,,,,,,
2014,087432,ALOCASIA SERENGETI PPAF,,,,,,,,,
2014,096532,ALST INTICANCHA R BRYCE,,,,,,,,,
2014,096522,ALST INTICANCHA R NAVAYO,,,,,,,,,
2014,096492,ALST INTICANCHA R SUNLIGHT,,,,,,,,,
2014,096512,ALST INTICANCHA R WHT BLSH PNK,,,,,,,,,
2014,066382,ALST ROCK & ROLL R PP21001,,,,,,,,,
    ,013191,BOUG MARY PALMERS ENCHANTMT,,,,,,,,,
    ,013195,BOUG MARY PALMERS ENCHANTMT,,,,,,,,,
2014,095742BH,BOUG SUNVILLEA TM CREAM P22112,,,,,,,,,
2015,095732BH,BOUG SUNVILLEA TM ROSE PP23272,,,,,,,,,
2015,089382,BREYNIA DISTICHA ROSEOPICTA,,,,,,,,,
2015,408501,COLOCASIA RYL HWN R BK CRL PAF,,,,,,,,,
2015,408502,COLOCASIA RYL HWN R BK CRL PAF,,,,,,,,,
2015,408505,COLOCASIA RYL HWN R BK CRL PAF,,,,,,,,,
2015,408491,COLOCASIA RYL HWN R HAWAN PNCH,,,,,,,,,
2015,408492,COLOCASIA RYL HWN R HAWAN PNCH,,,,,,,,,
2015,408495,COLOCASIA RYL HWN R HAWAN PNCH,,,,,,,,,
2015,412581,COLOCASIA RYL HWN R MAUI GOLD,,,,,,,,,
2015,412581,COLOCASIA RYL HWN R MAUI GOLD,,,,,,,,,
2015,412585,COLOCASIA RYL HWN R MAUI GOLD,,,,,,,,,
    ,082751,COPROSMA EVENING GLOW,,,,,,,,,
    ,082761,COPROSMA RAINBOW SURPRISE,,,,,,,,,
    ,090451,COPROSMA TEQUILA SUNRISE PPAF,,,,,,,,,
2015,084531,CORD FESTIVAL TM LIME PPAF,,,,,,,,,
2014,075252,CORD FESTIVAL TM RASPBERRY PAF,,,,,,,,,
    ,054781,CORDYLINE PINK PASSION PPAF,,,,,,,,,
2014,089392,CROSSANDRA ORANGE MARMALADE,,,,,,,,,
    ,033711,CUPHEA HYS RIVERDENE GOLD PPAF,,,,,,,,,
2015,084121,CUPHEA MICROPETALA,,,,,,,,,
2015,047892,DAPHNE MOONLIGHT PARFT R PPAF,,,,,,,,,
2015,412082,DIANELLA TAS WYEENA TM,,,,,,,,,
2015,410421,DIGITALIS FXLGT TM RBY GLW PAF,,,,,,,,,
2015,410421,DIGITALIS FXLGT TM RBY GLW PAF,,,,,,,,,
2015,410421,DIGITALIS FXLGT TM RBY GLW PAF,,,,,,,,,
2015,079151,ECHEVERIA DERENBERGII,,,,,,,,,
    ,064111,ECHEVERIA RUFFLES,,,,,,,,,
    ,063481,ECHEVERIA RUNYONII TOPSY TURVY,,,,,,,,,
2015,050725,EUCRYPHIA LUC SPRING CREAM,,,,,,,,,
2015,050722,EUCRYPHIA LUC SPRING CREAM,,,,,,,,,
    ,068111,EUPHORBIA ASCOT RAINBOW PPAF,,,,,,,,,
    ,033011,FERN-ASPLENIUM AUSTRAL GEM TM,,,,,,,,,
    ,033015,FERN-ASPLENIUM AUSTRAL GEM TM,,,,,,,,,
2014,097641,FERN-MICROLEPIA STRIGOSA,,,,,,,,,
2014,097642,FERN-MICROLEPIA STRIGOSA,,,,,,,,,
2014,097711,FERN-MICROSORUM SCOLOPENDRIA,,,,,,,,,
2014,097611,FERN-NEPHROLEPIS CD CALIFORNIA,,,,,,,,,
2014,097621,FERN-NEPHROLEPIS CD DUFFI,,,,,,,,,
2014,097661,FERN-ONYCHIUN JAPONICUM,,,,,,,,,
2014,028181,FERN-PELLAEA ROTUNDIFOLIA,,,,,,,,,
2014,097651,FERN-POLYPODIUM VRGNIA BLUE TM,,,,,,,,,
2014,097631,FERN-RUMOHRA ADIANT IBERIA,,,,,,,,,
2014,097601,FERN-WOODWARDIA UNIGEMMATA,,,,,,,,,
