Branch,item,Description,,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
2014,018561,AGASTACHE AUR-HYB TANGO,,284,81,0,0,81,$8.50 ,,5/1/2014
    ,400521,AGASTACHE HYB BLUE BOA PP24050,,39,4,0,0,4,$18.50 ,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,660,42,0,0,42,$8.50 ,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412521,AGASTACHE KUDOS GOLD PPAF,,,,,,,,,
2015,412521,AGASTACHE KUDOS GOLD PPAF,,,,,,,,,
2015,408331,AGASTACHE LITTLE ADDER PPAF,,,,,,,,,
2015,408331,AGASTACHE LITTLE ADDER PPAF,,,,,,,,,
2014,06696UT,ANACYCLUS PYR DEP SILBERKISSEN,,,,,,,,,
    ,407602,ARALIA CORDATA SUN KING,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412541,ASTILBE DELFT LACE,,,,,,,,,
2015,412541,ASTILBE DELFT LACE,,,,,,,,,
    ,413391,ASTILBE LTTLE VISN PRPLPP21855,,,,,,,,,
2014,017601,ASTILBE VISION IN WHITE P18965,,,,,,,,,
2014,017601,ASTILBE VISION IN WHITE P18965,,,,,,,,,
2014,017601,ASTILBE VISION IN WHITE P18965,,,,,,,,,
    ,400811,ASTILBE YOUNIQUE CRM TM P20324,,,,,,,,,
    ,400811,ASTILBE YOUNIQUE CRM TM P20324,,,,,,,,,
    ,400811,ASTILBE YOUNIQUE CRM TM P20324,,,,,,,,,
    ,400821,ASTILBE YOUNIQUE SLP TM P20656,,,,,,,,,
    ,400821,ASTILBE YOUNIQUE SLP TM P20656,,,,,,,,,
    ,402541S,BAM-FARGESIA DENUDATA,,,,,,,,,
    ,057112,BAM-FARGESIA N JIUZHAIGOU(CLP),,,,,,,,,
    ,402563,BAM-FARGESIA NITIDA GREAT WALL,,,,,,,,,
    ,025212,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
    ,025215,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
    ,402571S,BAM-FARGESIA RUFA GREEN PANDA,,,,,,,,,
    ,402581S,BAM-FARGESIA SCABRIDA,,,,,,,,,
    ,402583,BAM-FARGESIA SCABRIDA,,,,,,,,,
2015,412551,BAPTISIA PRAIRIEBLUES TM MDNGT,,,,,,,,,
2015,412551,BAPTISIA PRAIRIEBLUES TM MDNGT,,,,,,,,,
    ,401061,BAPTISIA SOLAR FLARE PP20408,,,,,,,,,
    ,401061,BAPTISIA SOLAR FLARE PP20408,,,,,,,,,
    ,401061,BAPTISIA SOLAR FLARE PP20408,,,,,,,,,
    ,401181,BRUNNERA MAC SILVER HEART PPAF,,,,,,,,,
    ,401181,BRUNNERA MAC SILVER HEART PPAF,,,,,,,,,
    ,401181,BRUNNERA MAC SILVER HEART PPAF,,,,,,,,,
New ,408391,CAMPANULA CAR RAPIDO BLUE,,,,,,,,,
New ,408401,CAMPANULA CAR RAPIDO WHITE,,,,,,,,,
2015,408421,CAMPANULA GLOM GENTI BLUE PPAF,,,,,,,,,
