Branch,Item,Description,Confirmed Qty Remaining,,,,,,,,,,,,,
170000,000105,ABELIA EDWARD GOUCHER, 10 ,,,,,,,,,,,,,
550000,099571,AGAPANTHUS BABY PETE TMPP21705, 40 ,,,,,,,,,,,,,
550000,001732,AGAPANTHUS BLUE STORM PP14332, 50 ,,,,,,,,,,,,,
170000,001805,AGAPANTHUS QUEEN ANNE-DIVISION, 19 ,,,,,,,,,,,,,
550000,001881,AGAPANTHUS X MIDKNIGHT BLUE R, 65 ,,,,,,,,,,,,,
550000,001882,AGAPANTHUS X MIDKNIGHT BLUE R, 20 ,,,,,,,,,,,,,
550000,001885,AGAPANTHUS X MIDKNIGHT BLUE R, 20 ,,,,,,,,,,,,,
170000,021595,AGAVE DESMETTIANA VARIEGATA, 10 ,,,,,,,,,,,,,
170000,001995,ALBIZIA J SUMMER CHOC PP13822, 10 ,,,,,,,,,,,,,
170000,001955,ALBIZIA JUL ROSEA, 75 ,,,,,,,,,,,,,
550000,002002,ALPINIA ZERUMBET VARIEGATA, 30 ,,,,,,,,,,,,,
550000,003151,ASPARAGUS MYERS, 60 ,,,,,,,,,,,,,
160000,035232,BER T GOLDEN RUBY R PP16203, 100 ,,,,,,,,,,,,,
550000,012701,BOUG BARBARA KARST, 25 ,,,,,,,,,,,,,
550000,012705,BOUG BARBARA KARST, 15 ,,,,,,,,,,,,,
550000,012705PT,BOUG BARBARA KARST, 12 ,,,,,,,,,,,,,
550000,035041,BOUG BENGAL ORANGE, 25 ,,,,,,,,,,,,,
550000,035045PT,BOUG BENGAL ORANGE, 6 ,,,,,,,,,,,,,
550000,013265PT,BOUG OO-LA-LA R, 6 ,,,,,,,,,,,,,
550000,013205,BOUG ORANGE KING, 10 ,,,,,,,,,,,,,
550000,013051,BOUG PURPLE QUEEN R, 25 ,,,,,,,,,,,,,
550000,013051BH,BOUG PURPLE QUEEN R, 22 ,,,,,,,,,,,,,
550000,013052BH,BOUG PURPLE QUEEN R, 15 ,,,,,,,,,,,,,
550000,013055,BOUG PURPLE QUEEN R, 20 ,,,,,,,,,,,,,
550000,013055PT,BOUG PURPLE QUEEN R, 20 ,,,,,,,,,,,,,
550000,013211,BOUG RASPBERRY ICE, 25 ,,,,,,,,,,,,,
550000,013215,BOUG RASPBERRY ICE, 15 ,,,,,,,,,,,,,
550000,013215PT,BOUG RASPBERRY ICE, 6 ,,,,,,,,,,,,,
550000,077412S,BUD LO&BEHLD R PRPL HAZE PPAF, 100 ,,,,,,,,,,,,,
550000,013781,BUDDLEJA DAV BLACK KNIGHT, 80 ,,,,,,,,,,,,,
170000,013785,BUDDLEJA DAV BLACK KNIGHT, 40 ,,,,,,,,,,,,,
550000,013791,BUDDLEJA DAV PINK DELIGHT, 40 ,,,,,,,,,,,,,
170000,013795,BUDDLEJA DAV PINK DELIGHT, 40 ,,,,,,,,,,,,,
550000,013561,BUDDLEJA DAV ROYAL RED, 40 ,,,,,,,,,,,,,
