Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000755,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,00095MST,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,010392ST,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,001025,,,,,,,,,,
,03396M,,,,,,,,,,
,049585,,,,,,,,,,
,007072,,,,,,,,,,
,007772,,,,,,,,,,
,035232,,,,,,,,,,
,062932,,,,,,,,,,
,062935,,,,,,,,,,
,024715,,,,,,,,,,
,012425MU,,,,,,,,,,
,013825SP,,,,,,,,,,
,013825SP,,,,,,,,,,
,013905,,,,,,,,,,
,058425,,,,,,,,,,
,058427,,,,,,,,,,
,017855,,,,,,,,,,
,412561,,,,,,,,,,
,412571,,,,,,,,,,
,004221,,,,,,,,,,
,039512,,,,,,,,,,
,048741,,,,,,,,,,
,027261,,,,,,,,,,
,027461,,,,,,,,,,
,027071,,,,,,,,,,
,408551,,,,,,,,,,
,408541,,,,,,,,,,
,408531,,,,,,,,,,
,027961,,,,,,,,,,
,027865,,,,,,,,,,
,412621,,,,,,,,,,
,407711,,,,,,,,,,
,087021,,,,,,,,,,
,022831,,,,,,,,,,
,077121,,,,,,,,,,
,036281,,,,,,,,,,
,057301,,,,,,,,,,
,036121,,,,,,,,,,
,036241,,,,,,,,,,
,017543,,,,,,,,,,
,037172,,,,,,,,,,
,031413,,,,,,,,,,
,023081,,,,,,,,,,
,005231,,,,,,,,,,
,040511,,,,,,,,,,
,040511,,,,,,,,,,
,040111,,,,,,,,,,
,023101,,,,,,,,,,
,047531,,,,,,,,,,
,046641,,,,,,,,,,
,046641,,,,,,,,,,
,074513S,,,,,,,,,,
,068241,,,,,,,,,,
,017525,,,,,,,,,,
,092753,,,,,,,,,,
,403763,,,,,,,,,,
,403923,,,,,,,,,,
,403832S,,,,,,,,,,
,074542S,,,,,,,,,,
,086315,,,,,,,,,,
,089953S,,,,,,,,,,
,042565,,,,,,,,,,
,048165,,,,,,,,,,
,080962S,,,,,,,,,,
,044011,,,,,,,,,,
,046441,,,,,,,,,,
,046492S,,,,,,,,,,
,048002PP,,,,,,,,,,
,048005OP,,,,,,,,,,
,048005PP,,,,,,,,,,
,009161,,,,,,,,,,
,028481,,,,,,,,,,
,067832,,,,,,,,,,
,402677,,,,,,,,,,
,018327,,,,,,,,,,
,404777,,,,,,,,,,
,05895MT,,,,,,,,,,
,05898MT,,,,,,,,,,
,05896MT,,,,,,,,,,
,404757,,,,,,,,,,
,064212,,,,,,,,,,
,010591,,,,,,,,,,
,064341,,,,,,,,,,
,064451,,,,,,,,,,
,064601,,,,,,,,,,
,064695,,,,,,,,,,
,038745,,,,,,,,,,
,065162,,,,,,,,,,
,065082,,,,,,,,,,
,065535PP,,,,,,,,,,
,066885,,,,,,,,,,
,031815,,,,,,,,,,
,070307,,,,,,,,,,
,066915,,,,,,,,,,
,066917,,,,,,,,,,
,081785,,,,,,,,,,
,066937,,,,,,,,,,
,066939,,,,,,,,,,
,069455,,,,,,,,,,
,011232,,,,,,,,,,
,009803,,,,,,,,,,
,098552S,,,,,,,,,,
,098562S,,,,,,,,,,
,098562S,,,,,,,,,,
,406312S,,,,,,,,,,
,022642S,,,,,,,,,,
,022642S,,,,,,,,,,
,030902S,,,,,,,,,,
,030903S,,,,,,,,,,
,037863S,,,,,,,,,,
,406233,,,,,,,,,,
,406183,,,,,,,,,,
,039492,,,,,,,,,,
,039497PT,,,,,,,,,,
,412691,,,,,,,,,,
,412721,,,,,,,,,,
,412721,,,,,,,,,,
,007331,,,,,,,,,,
,007331,,,,,,,,,,
,075032S,,,,,,,,,,
,075033S,,,,,,,,,,
,072022,,,,,,,,,,
,072935,,,,,,,,,,
,051325,,,,,,,,,,
,012655,,,,,,,,,,
,056232,,,,,,,,,,
,084842,,,,,,,,,,
,080362,,,,,,,,,,
,073742,,,,,,,,,,
,081712,,,,,,,,,,
,407072,,,,,,,,,,
,407082,,,,,,,,,,
,081702,,,,,,,,,,
,409972,,,,,,,,,,
,078715,,,,,,,,,,
,077513S,,,,,,,,,,
,017572,,,,,,,,,,
,017343,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
