Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000445,ACER GRISEUM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000555,ACER NEGUNDO FLAMINGO,EVS,39,4,0,0,4,$18.50 ,,
550000,000755,ACER PAL BLOODGOOD,EVS,660,42,0,0,42,$8.50 ,,
,000952ST,ACER PAL CRIMSON QUEEN,,,,,,,,,
,000845,ACER PAL EMPEROR I R,,,,,,,,,
,00099MMD,ACER PAL GARNET,,,,,,,,,
,010392ST,ACER PAL RED DRAGON,,,,,,,,,
,001022,ACER PAL SANGOKAKU,,,,,,,,,
,001215,ACER PAL SHAINA,,,,,,,,,
,031825,ACER PAL SHIN DESHOJO,,,,,,,,,
,000905ST,ACER PAL WATERFALL,,,,,,,,,
,049585,ACER PSEUDO ESKIMO SUNSET,,,,,,,,,
,000967,ACER RUB OCTOBER GLORY R,,,,,,,,,
,001275,ACER RUB RED SUNSET R,,,,,,,,,
,030335,ACER SHIR AUTUMN MOON,,,,,,,,,
,400561,ALLIUM HYB MILLENNIUM,,,,,,,,,
,002535,AMEL AUTUMN BRILLIANCE R,,,,,,,,,
,400575,AMEL CAN RAINBOW PILLAR R,,,,,,,,,
,003041,ARMERIA MAR BLOODSTONE,,,,,,,,,
,027501,ASTILBE COLOR FLASH R PP17343,,,,,,,,,
,001681,ASTILBE RED SENTINEL,,,,,,,,,
,057112,BAM-FARGESIA N JIUZHAIGOU(CLP),,,,,,,,,
,025212,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
,074742S,BER SUNJOY R GOLD PILLAR PPAF,,,,,,,,,
,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,
,062932,BER T ORANGE ROCKET PP18411,,,,,,,,,
,012212,BER T ROYAL BURGUNDY R P9461,,,,,,,,,
,01429M,BETULA HERITAGE TM (CLMP),,,,,,,,,
,012315,BETULA JACQUEMONTII,,,,,,,,,
,012425MU,BETULA NIGRA,,,,,,,,,
,012365,BETULA PENDULA PURPLE RAIN R,,,,,,,,,
,407622S,BUD LO&BEHLD R BLU CHP JR PPAF,,,,,,,,,
,401292S,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,
,077392S,BUDDLEJA MISS MOLLY PPAF,,,,,,,,,
,090782,BUXUS GOLDEN TRIUMPH,,,,,,,,,
,013822,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013892,BUXUS GREEN VELVET,,,,,,,,,
,013905,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,013982,BUXUS SEMP SUFFRUTICOSA,,,,,,,,,
,013882,BUXUS SEMP VARIEGATA,,,,,,,,,
,022495,CARAGANA ARB WALKER,,,,,,,,,
,055225,CEDRUS DEODARA KARL FUCHS,,,,,,,,,
,038415,CERCIS C HEARTS OF GOLD P17740,,,,,,,,,
,023585,CERCIS CAN FOREST PANSY,,,,,,,,,
,058425,CERCIS CAN RUBY FALLS,,,,,,,,,
,023465,CERCIS CAN SILVER CLOUD,,,,,,,,,
,017855,CERCIS LAVENDER TWIST R P10328,,,,,,,,,
,074442S,CHAEN DBLTKE TM OR STRM P20950,,,,,,,,,
,02365M,CHAM NOOT PENDULA,,,,,,,,,
,412571,CHRY (LEU) REAL GALAXY PPAF,,,,,,,,,
,004221,CHRYS (LEUCANTH) X SUP SNOWCAP,,,,,,,,,
,039512,CIMI S BLACK NEGLIGEE (ACTAEA),,,,,,,,,
,027071,CLEM X PINK CHAMPAGNE,,,,,,,,,
