Item,Description,Size,Form
049741ST,ABUTILON X HYB CASCADE DAWN,1,ST
068812,AGAVE POTATORUM KISSHO KAN,2,
077801,ALOE HYBRID CARMINE TM,1,
077791,ALOE HYBRID SAL TM,1,
035042BH,BOUG BENGAL ORANGE,2,BH
090122BH,BOUG BLUEBERRY ICE,2,BH
016482BH,BOUG GOLDEN JACKPOT R,2,BH
090112BH,BOUG WHITE STRIPE,2,BH
025605PT,CITRUS KUMQUAT NAGAMI,5,PT
030442,CLIVIA BELGIAN HYB ORANGE,2,
031732,CORD FESTIVAL TM BRGNDY P14224,2,
064111,ECHEVERIA RUFFLES,1,
035572PT,EURYOPS PECT VIRIDIS,2,PT
035901,FERN-ALSOPHILA AUSTRALIS,1,
066485,FICUS CAR CELESTIAL,5,
036815,FICUS CAR MISSION,5,
038101,GELSEMIUM SEMPERVIRENS,1,ST
046581,JASMINUM POLYANTHUM,1,ST
053655,JUN V BLUE ARROW,5,
069402,KALANCHOE THYR DESERT ROSE,2,
040202,LORO C PIPA'S RED,2,
059192ST,LORO C SIZZLING PINK,2,ST
061245,MAN RED RIDING HOOD,5,ST
060085,OLEA HAAS IMP MANZANILLO (FRT),5,
060085TR,OLEA HAAS IMP MANZANILLO (FRT),5,TR
025463,OPUNTIA SANTA-RITA TUBAC TM,3,
063755,PALM-CYCAS REVOLUTA,5,
086555,PODOCARPUS ICEE BLUE R(BL CHIP,5,
068015,PUNICA GR SMITH ANGLRD PP16578,5,
070321,ROSMARINUS HUNTINGTON CARPET,1,
021301,ROSMARINUS OFF BBQ,1,
070341,RUBUS CANBY RED RASPBERRY,1,ST
070041,RUBUS HERITAGE RASPBERRY,1,
070061,RUBUS INDIAN SUMMER RASPBERRY,1,ST
067871,RUBUS PRIME-JIM R BKBRY P16989,1,ST
079382,RUBUS RSPBRY SHRTCKE TM P22141,2,
070081,RUBUS WILLAMETTE RASPBERRY,1,ST
056232,VACC BOUNTIFUL BLUE R PP19381,2,
047825,YUCCA BACCATA,5,
025565,YUCCA ROSTRATA,5,
053492,BAM-BORINDA BOLIANA (CLUMP),2,
013821S,BUXUS GREEN MOUNTAIN,1S,
048622,CHOISYA TERN SUNDANCE,2,
048625,CHOISYA TERN SUNDANCE,5,
027151,CLEM ARMANDII,1,ST
027155,CLEM ARMANDII,5,ST
036831,COROKIA COTONEASTER,1,
049231,DAPHNE ETRNL FRAGRANCE PP18361,1,
049232,DAPHNE ETRNL FRAGRANCE PP18361,2,
028121,FERN-BLECHNUM SPICANT,1,
084911,FERN-POLYSTICHUM MUNITUM,1,
005081,FERN-POLYSTICHUM X DYCEI,1,
017542,FORSYTHIA X MAGICAL R GOLD,2,
090981,IBERIS SEMP PURITY,1,
046491S,ITEA VIR LITTLE HENRY R P10988,1S,
050655,STACHYURUS SAL SPARKLER R,5,
081702,VACCINIUM X JELLY BEAN TM PPAF,2,
073602,VIB X BURKWOODII,2,
024751,CITRUS BEARSS SEEDLESS LIME,1,
025605,CITRUS KUMQUAT NAGAMI,5,
094081S,CORDYLINE B ELECTRIC PINK PPAF,1S,
092755,HYD M ENCHANTRESS R PPAF,5,
046585,JASMINUM POLYANTHUM,5,ST
059585TR,MAG X BLACK TULIP PPAF,5,TR
071751,STRELITZIA REGINAE,1,
081712,VACCINIUM PEACH SORBET TM PPAF,2,
047835,YUCCA ELATA,5,
077235,YUCCA FIL GOLDEN SWORD,5,
051031,HEBE PIMELEOIDES QUICKSILVER,1,
051032,HEBE PIMELEOIDES QUICKSILVER,2,
092752,HYD M ENCHANTRESS R PPAF,2,
080931S,WEIGELA SONIC BLOOM TM RED PAF,1S,
047655,AZALEA FRAGRANT STAR,5,
017381,CEPHALOTAXUS HAR FASTIGIATA,1,
091882,DEUTZIA X NIKKO BLUSH NA74356,2,
050612,DRIMYS LANCEOLATA,2,
039991,HELLE X IVORY PRINCE PP16199,1,
075632,HYD INTEG TAIPING SHAN CLIMBNG,2,ST
021092,ILEX X SCALLYWAG TM PP21941,2,
021471,LAURUS NOBILIS EMERALD WAVE R,1,
019395,PICEA PUN THE BLUES,5,
084941,ROSMARINUS OFF SPICE ISLANDS,1,
048325,SYMPH BLADE OF SUN TM PP18567,5,
021742,VACCINIUM CORY SUNSHINE BLUE,2,
080362,VACCINIUM CORYMBOSUM CHANDLER,2,
073742,VACCINIUM CORYMBOSUM PATRIOT,2,
