Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
160000,1582954,SPRING BOOKING                ,05/01/16  ,000755,#5,ACER PAL BLOODGOOD,Bloodgood Japanese Maple                                                                            ,TRE,$8.50 ,,5/1/2014
160000,1582954,SPRING BOOKING                ,05/01/16  ,049585,#5,ACER PSEUDO ESKIMO SUNSET,Eskimo Sunset Sycamore Maple                                                                        ,TRE,$18.50 ,,
160000,1582954,SPRING BOOKING                ,05/01/16  ,030335,#5,ACER SHIR AUTUMN MOON,Autumn Moon Fullmoon Maple                                                                          ,TRE,$8.50 ,,
160000,1582954,SPRING BOOKING                ,05/01/16  ,412511,#1,AGASTACHE KUDOS CORAL PPAF,Kudos Coral Dwarf Hummingbird Mint                                                                  ,PRN,,,
160000,1582954,SPRING BOOKING                ,05/01/16  ,408331,#1,AGASTACHE LITTLE ADDER PPAF,Little Adder Hummingbird Mint                                                                       ,PRN,,,
450000,1582949,SPRING BOOKING                ,05/01/16  ,400561,#1,ALLIUM HYB MILLENNIUM,Millenium Ornamental Onion                                                                          ,PRN,,,
160000,1582954,SPRING BOOKING                ,05/01/16  ,00304UT,LittleOne,ARMERIA MAR BLOODSTONE,Bloodstone Thrift                                                                                   ,PRN,,,
160000,1582954,SPRING BOOKING                ,05/01/16  ,00269UT,LittleOne,ARMERIA MAR COTTON TAIL,Cotton Tail Thrift                                                                                  ,PRN,,,
450000,1582949,SPRING BOOKING                ,05/01/16  ,035381,#1,BRUNNERA MAC JACK FROST P13859,Jack Frost Siberian Bugloss                                                                         ,PRN,,,
450000,1582949,SPRING BOOKING                ,05/01/16  ,401252,#2,BUD FLTBY PTE R BL HEVN P22069,Flutterby Petite  Blue Heaven Butterfly Bush                                                       ,DCS,,,
550000,1582950,SPRING BOOKING                ,05/01/16  ,013561,#1,BUDDLEJA DAV ROYAL RED,Royal Red Butterfly Bush                                                                            ,DCS,,,
450000,1582949,SPRING BOOKING                ,05/01/16  ,078721,#1,CORE BIGBANG TM CSMC EY P22601,Big Bang  Cosmic Eye Tickseed                                                                      ,PRN,,,
450000,1582949,SPRING BOOKING                ,05/01/16  ,088891,#1,CORE BIGBANG TM MRCRY RSNG PAF,Big Bang  Mercury Rising Tickseed                                                                  ,PRN,,,
450000,1582949,SPRING BOOKING                ,05/01/16  ,068081,#1,CORE BIGBANG TM RDSHFT PP20412,Big Bang  Redshift Tickseed                                                                        ,PRN,,,
160000,1582954,SPRING BOOKING                ,05/01/16  ,031532,#2,DAPHNE BURK CAROL MACKIE,Carol Mackie Daphne                                                                                 ,EVS,,,
