Item,Description,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
99571,AGAPANTHUS BABY PETE TMPP21705,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
50002,AGAPANTHUS INAPTERUS GRASKOP,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
74122,AGAVE BRACTEOSA CALAMAR,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
74132,AGAVE DURANGO,,,,,,,,,,
25222,AGAVE PARRYI VAR TRUNCATA,,,,,,,,,,
68812,AGAVE POTATORUM KISSHO KAN,,,,,,,,,,
63802,ALOE DOROTHEAE,,,,,,,,,,
66381,ALST ROCK & ROLL R PP21001,,,,,,,,,,
39021,ANEMONE X WILD SWAN TM PP23132,,,,,,,,,,
12033,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,,
12012,BER T CHERRY BOMB R CPBR 3488,,,,,,,,,,
090121BH,BOUG BLUEBERRY ICE,,,,,,,,,,
090122BH,BOUG BLUEBERRY ICE,,,,,,,,,,
013825PY,BUXUS GREEN MOUNTAIN,,,,,,,,,,
013825SP,BUXUS GREEN MOUNTAIN,,,,,,,,,,
13907,BUXUS S GREEN TOWER R PP15243,,,,,,,,,,
92922,CALLICARPA DICH SUMMER SNOW R,,,,,,,,,,
92892,CARY CLA KORBALL BLU BALLOON R,,,,,,,,,,
023285PT,CEDRUS DEODARA FEELIN BLUE,,,,,,,,,,
02328M,CEDRUS DEODARA FEELIN BLUE,,,,,,,,,,
051275ST,CEDRUS FEELIN SUNNY R PP23886,,,,,,,,,,
31732,CORD FESTIVAL TM BRGNDY P14224,,,,,,,,,,
75252,CORD FESTIVAL TM RASPBERRY PAF,,,,,,,,,,
30735,CUP SEMP TINY TOWER R PP12933,,,,,,,,,,
91882,DEUTZIA X NIKKO BLUSH NA74356,,,,,,,,,,
46745,DIETES X KATRINA R PP 21460,,,,,,,,,,
08582UT,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,,
50612,DRIMYS LANCEOLATA,,,,,,,,,,
50725,EUCRYPHIA LUC SPRING CREAM,,,,,,,,,,
