Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future,,,,,,,,,,,
CA,    ,031701,#1,CORDYLINE INDIVISA,Cordyline indivisa                                          ,Blue Dracaena Palm                                          ,Grass-like plant,EVS,09,, 6.50 ,,,,,,,,,,,
CA,    ,030121,#1,CUPHEA HYS ITSY BITSY R ROSE,Cuphea hyssopifolia 'MonTroy'                               ,Itsy Bitsy?  Rose False Heather,Evergreen sumr flower'g shrub,PRN,09,STR, 4.75 ,,,,,,,,,,,
CA,    ,083001,#1,CUPHEA HYS ITSY BITSY R WHITE,Cuphea hyssopifolia 'Monga'                                 ,Itsy Bitsy?  White False Heather,Evergreen sumr flower'g shrub,PRN,09,, 4.75 ,,,,,,,,,,,
CA,    ,098271S,SuperOne TM,DIANELLA RV LITTLE REV PP17719,Dianella revoluta 'DR5000' P.P.# 17719                      ,Little Rev?  Flax Lily,Sun/shade foliage-groundcover,PRN,07,DPC, 7.00 ,,,,,,,,,,,
CA,2011,066062,#2,DIANELLA TAS SILVER STREAK,Dianella tasmanica Silver Streak                            ,Silver Streak Flax Lily                                     ,Sun/shade foliage-groundcover,PRN,07,OLD, 17.00 ,,,,,,,,,,,
CA,2014,090221,#1,DIANTHUS COSMIC TM PK SWRL PAF,Dianthus x 'Pink Swirl'                                     ,Cosmic?  Pink Swirl Dianthus,Mid spring border flowering,PRN,06,, 5.50 ,,,,,,,,,,,
CA,2014,090211,#1,DIANTHUS COSMIC TM RD SWRL PAF,Dianthus x 'Red Swirl' P.P.A.F.                             ,Cosmic?  Red Swirl Dianthus,Mid spring border flowering,PRN,06,, 5.50 ,,,,,,,,,,,
OR,    ,032121,#1,ERIGERON GLA SEA BREEZE P12076,Erigeron glaucus 'Sea Breeze' P.P. #12076                   ,Sea Breeze Fleabane                                         ,Mid/late interm. flowering,PRN,05,PHI, 4.75 ,,,,,,,,,,,
CA,    ,036185,#5,ESCALLONIA COMPAKTA,Escallonia 'Compakta'                                       ,Compact Escallonia                                          ,Evergreen early flower'g shrub,EVS,07,, 20.25 ,,,,,,,,,,,
CA,    ,033301,#1,EUGENIA MYR GLOBULUS,Eugenia myrtifolia 'Globulus'                               ,Dwarf Brush Cherry                                          ,Evergreen small shrub/hedge,EVS,09,, 5.75 ,,,,,,,,,,,
