Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,025222,AGAVE PARRYI VAR TRUNCATA,CAC, 5 , 5 , 5 , 5 , 5 ,     ,,5/1/2014
550000,064081,ALOE BLUE ELF,CAC, 10 , 10 , 10 , 10 , 10 , 16.98 ,,5/1/2014
550000,063791,ALOE HYBRID CHRISTMAS CAROL,CAC, 10 , 10 , 10 , 10 , 10 ,     ,,5/1/2014
550000,025212,BAM-FARGESIA RUFA (CLUMP),GRS, 8 , 8 , 8 , 8 , 8 , 49.98 ,,5/1/2014
550000,012052,BER T CRIMSON PYGMY,DCS, 15 , 15 , 15 , 15 , 15 , 29.98 ,,5/1/2014
550000,012052,BER T CRIMSON PYGMY,DCS, 16 , 16 , 16 , 16 , 16 , 29.98 ,,5/1/2014
550000,062932,BER T ORANGE ROCKET PP18411,DCS, 10 , 10 , 10 , 10 , 10 , 34.98 ,,5/1/2014
550000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS, 15 , 15 , 15 , 15 , 15 , 24.98 ,,5/1/2014
550000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS, 5 , 5 , 5 , 5 , 5 , 34.98 ,,5/1/2014
550000,080792S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS, 5 , 5 , 5 , 5 , 5 , 34.98 ,,5/1/2014
550000,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS, 9 , 9 , 9 , 9 , 9 ,     ,,5/1/2014
550000,407622S,BUD LO&BEHOLD BLU CHIP JR,DCS, 15 , 15 , 15 , 15 , 15 , 34.98 ,,5/1/2014
550000,013825,BUXUS GREEN MOUNTAIN,EVS, 10 , 10 , 10 , 10 , 10 , 49.98 ,,5/1/2014
550000,013951,BUXUS J GREEN BEAUTY,EVS, 17 , 17 , 17 , 17 , 17 , 14.98 ,,5/1/2014
550000,013835,BUXUS MIC WINTER GEM,EVS, 8 , 8 , 8 , 8 , 8 , 49.98 ,,5/1/2014
550000,013902,BUXUS S GREEN TOWER R PP15243,EVS, 5 , 5 , 5 , 5 , 5 , 39.98 ,,5/1/2014
550000,013881,BUXUS SEMP VARIEGATA,EVS, 10 , 10 , 10 , 10 , 10 , 16.98 ,,5/1/2014
550000,401475,CAMP INDIAN SUMMER R PP13139,VIN, 5 , 5 , 5 , 5 , 5 , 64.98 ,,5/1/2014
550000,074785,CHAM PIS SOFT SERVE R PPAF,CON, 15 , 15 , 15 , 15 , 15 , 69.98 ,,5/1/2014
550000,023822,CHAM PIS SQUARROSA MINIMA,CON, 10 , 10 , 10 , 10 , 10 , 39.98 ,,5/1/2014
550000,046252,CLEM LOUISE ROWE,VIN, 5 , 5 , 5 , 5 , 5 , 39.98 ,,5/1/2014
550000,015901,CLEM X BLUE LIGHT R PP15953,VIN, 10 , 10 , 10 , 10 , 10 , 19.98 ,,5/1/2014
550000,027225,CLEM X COMTESSE DE BOUCHAUD,VIN, 5 , 5 , 5 , 5 , 5 , 69.98 ,,5/1/2014
550000,044481,CLEM X JACKMANII SUPERBA,VIN, 10 , 10 , 10 , 10 , 10 , 19.98 ,,5/1/2014
550000,027442,CLEM X NELLY MOSER,VIN, 5 , 5 , 5 , 5 , 5 , 39.98 ,,5/1/2014
550000,027482,CLEM X RAMONA,VIN, 5 , 5 , 5 , 5 , 5 , 39.98 ,,5/1/2014
550000,027523,CLETHRA ALN HUMMINGBIRD,DCS, 10 , 10 , 10 , 10 , 10 , 34.98 ,,5/1/2014
550000,028552,COT APICULATUS TOM THUMB,DCS, 25 , 25 , 25 , 25 , 25 , 29.98 ,,5/1/2014
550000,019311,EUO A COLE'S COMPACT,DCS, 10 , 10 , 10 , 10 , 10 , 19.98 ,,5/1/2014
550000,033601,EUO ALATUS COMPACTUS,DCS, 10 , 10 , 10 , 10 , 10 , 19.98 ,,5/1/2014
550000,034302,EUO F GOLDEN PRINCE R,EVS, 5 , 5 , 5 , 5 , 5 , 29.98 ,,5/1/2014
550000,017541,FORSYTHIA X MAGICAL R GOLD,DCS, 10 , 10 , 10 , 10 , 10 , 14.98 ,,5/1/2014
