item,Description
055482,ARALIA CORDATA GOTEMBA
400821,ASTILBE YOUNIQUE SLP TM P20656
012033,BER GOLDN NUGGET TM P9577 CBR
062932,BER T ORANGE ROCKET PP18411
035242,BER T PYGMY RUBY TM
039512,CIMI S BLACK NEGLIGEE (ACTAEA)
090661,CLEM ALP PAMELA JACKMAN
051481,CLEM VANCOUVER TM DANIELLE
015901,CLEM X BLUE LIGHT R PP15953
027221,CLEM X COMTESSE DE BOUCHAUD
055201,CLEM X MRS. SPENCER CASTLE
027441,CLEM X NELLY MOSER
027071,CLEM X PINK CHAMPAGNE
027491,CLEM X ROUGE CARDINAL
026371,CLEM X TOKI
028502,COT APICULATUS
037791,GAULTHERIA PROCUMBENS
014012,GR-CAL ACUT KARL FOERSTER
038681,GR-HAKONECHLOA MACRA AUREOLA
061551,GR-MIS SIN STRICTUS
022961,GR-PAN VIR NORTHWIND
040121,HEM LITTLE GRAPETTE
040111,HEM STELLA DE ORO
083931,HEM SWIRLING WATER
054491,HEUCHERA AUTUMN LEAVES PPAF
097091,HEUCHERA CARNIVAL LIMEADE PPAF
037541,HEUCHERA OBSIDIAN PP14836
054481,HEUCHERELLA GOLD ZEBRA PPAF
024372S,HYD PAN LIMELIGHT PP12874
041701,HYD PETIOLARIS
047252,MUKDENIA ROS CRIMSON FANS
050282,PAEONIA X BUCKEYE BELLE (RED)
046132,PAEONIA X JAN VAN LEEUWEN (WT)
063742,PAEONIA X KANSAS (RED)
046212,PAEONIA X LADY ORCHID (PINK)
064912,PAEONIA X MME EMILE DEBATENE
046072,PAEONIA X RASPBERRY SUNDAE(PK)
034655,PHYSOCARPUS CENTER GLOW P16894
063932,PHYSOCARPUS DIABOLO R P11211
019395,PICEA PUN THE BLUES
036382,ROSA FLWR CAR R PNK SUP P16276
018242,ROSA FLWR CAR R YELLOW PP13869
090795ST,ROSA-CL-CECILE BRUNNER
058912,ROSA-CL-WILLIAM BAFFIN
039492,SALIX INTEGRA FLAMINGO PP17490
070261,SALVIA X SYL MAY NIGHT
029141,SEDUM BLUE SPRUCE
412721,SEDUM SSPKLR R FIRE CRACKR PAF
04491UT,SEMPERVIVUM RUBIKON
075012S,SPIRAEA DBLPLAY R ARTIST PPAF
071572,SPIRAEA JAP MAGIC CARPET P9363
072812,THUJA OC DEGROOT'S SPIRE
047442,THUJA OC FIRE CHIEF TM P19009
072862,THUJA OC GOLDEN GLOBE
072865,THUJA OC GOLDEN GLOBE
038192,TSUGA CAN JEDDELOH
409971,WEIGELA F COCO KRUNCH R PPAF
