Requested,Remaining,Date,Item,Description
16,16,6/1/2016,08030UT,AJUGA CHOCOLATE CHIP
8,8,6/1/2016,00189UT,AJUGA REPTANS BRONZE BEAUTY
10,10,6/1/2016,003511,ASTILBE DEUTSCHLAND
12,12,6/1/2016,017601,ASTILBE VISION IN WHITE P18965
3,3,6/1/2016,017601,ASTILBE VISION IN WHITE P18965
3,3,6/1/2016,400811,ASTILBE YOUNIQUE CRM TM P20324
3,3,6/1/2016,400821,ASTILBE YOUNIQUE SLP TM P20656
3,3,6/1/2016,400821,ASTILBE YOUNIQUE SLP TM P20656
10,10,6/1/2016,013771,BUDDLEJA DAV PETITE INDIGO R
10,10,6/1/2016,029212,CANNA TROP BLACK TM PP21350
1,1,6/1/2016,017412,CANNA TROPICANNA GLD TM P13809
4,4,6/1/2016,017412,CANNA TROPICANNA GLD TM P13809
16,16,6/1/2016,02795UT,COREOPSIS AURICULATA NANA
16,16,6/1/2016,03420UT,DELOSPERMA COOPERI
16,16,6/1/2016,05968UT,DIANTHUS FIRE STAR PP14895
10,10,6/1/2016,031611,DICENTRA X LUXURIANT
15,15,6/1/2016,036281,ECHINACEA SUNDOWN TM PP17659
20,20,6/1/2016,019241,FERN-ATHYRIUM F LADY IN RED
20,20,6/1/2016,036121,FERN-ATHYRIUM NIP PICTUM
5,5,6/1/2016,036785,FICUS CAR BROWN TURKEY
10,10,6/1/2016,001421,GR-ACORUS GR OGON
10,10,6/1/2016,059031,GR-ACORUS GRAMINEUS OBOROZUKI
6,6,6/1/2016,061741,GR-MIS SIN CABARET
4,4,6/1/2016,061741,GR-MIS SIN CABARET
10,10,6/1/2016,064261,GR-PENN ALO HAMELN
17,17,6/1/2016,06427UT,GR-PENN SET RUBRUM
8,8,6/1/2016,04051UT,HEM HAPPY RETURNS
10,10,6/1/2016,018661,HEUCHERA GREEN SPICE
10,10,6/1/2016,029531,HEUCHERA LIME RICKEY PP16210
10,10,6/1/2016,045721,HEUCHERA MIDNIGHT ROSE PP18551
10,10,6/1/2016,037541,HEUCHERA OBSIDIAN PP14836
10,10,6/1/2016,036981,HOSTA APHRODITE
10,10,6/1/2016,025101,HOSTA CHRISTMAS TREE
28,28,6/1/2016,017531,HOSTA JUNE
10,10,6/1/2016,062011,HOSTA PAUL'S GLORY
10,10,6/1/2016,044671,HOSTA STAINED GLASS PPAF
50,50,6/1/2016,092752,HYD BLUE ENCHANTRESS R PP25209
2,2,6/1/2016,04750MSP,JUN C HETZII COLUMN
10,10,6/1/2016,056841,LANTANA CAM MISS HUFF
10,10,6/1/2016,056631,LANTANA CHAPEL HILL YLW P19548
32,32,6/1/2016,00967UT,LIRIOPE MUSCARI BIG BLUE
22,22,6/1/2016,06269UT,ROSMARINUS BLUE SPIRES
16,16,6/1/2016,07101UT,RUDBECKIA FULGIDA GOLDSTURM
16,16,6/1/2016,01954UT,SALVIA NEM MARCUS R PP13322
9,9,6/1/2016,07094UT,SEDUM BRONZE CARPET
18,18,6/1/2016,01182UT,SEDUM JOHN CREECH
8,8,6/1/2016,06524UT,SEDUM PACHYCLADOS
17,17,6/1/2016,07091UT,SEDUM VERA JAMESON
16,16,6/1/2016,06559UT,SEMPERVIVUM BLACK
16,16,6/1/2016,06559UT,SEMPERVIVUM BLACK
16,16,6/1/2016,06560UT,SEMPERVIVUM GREEN WHEEL
16,16,6/1/2016,06561UT,SEMPERVIVUM KREBS DES ROSE
8,8,6/1/2016,06563UT,SEMPERVIVUM RED RUBIN
14,14,6/1/2016,012731ST,TRACH JASMINOIDES MADISON
1,1,6/1/2016,012731ST,TRACH JASMINOIDES MADISON
,,,,
,,,,
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,
