Item,Early Ship,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
000082,,,,2,OR,5,Abies balsamea 'Nana'                                       ,Dwarf Balsam Fir                                            ,CON,CON,03,    , $25.12 ,,,,014949000823,34,0,0,          ,0,          ,0,          ,, $22.50 , $2.62 
051315,,,,5,OR,5,Abies concolor 'Candicans'                                  ,Candicans White Fir                                         ,CON,CON,04,2012, $51.73 ,,,,014949278642,0,38,38,05/15/15  ,0,          ,0,          ,, $46.50 , $5.23 
019342,,,,2,OR,5,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Subalpine Fir                                    ,CON,CON,03,    , $30.12 ,,,,014949257685,6,0,0,          ,0,          ,0,          ,, $27.50 , $2.62 
019345,,,,5,OR,5,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Subalpine Fir                                    ,CON,CON,03,    , $51.73 ,,,,014949015735,131,131,131,05/15/15  ,0,          ,0,          ,, $46.50 , $5.23 
023305,,,,5,OR,5,Cedrus atlantica 'Glauca'                                   ,Blue Atlas Cedar                                            ,CON,CON,06,    , $46.73 ,,,,014949233054,0,6,6,10/01/14  ,0,          ,0,          ,, $41.50 , $5.23 
023307,,,,7,OR,2,Cedrus atlantica 'Glauca'                                   ,Blue Atlas Cedar                                            ,CON,CON,06,    , $88.08 ,,,,014949233078,27,0,0,          ,0,          ,0,          ,, $75.00 , $13.08 
038785,,,,5,OR,5,Cedrus atlantica 'Glauca Fastigiata'                        ,Columnar Blue Atlas Cedar                                   ,CON,CON,06,2010, $46.73 ,,,,014949233085,2,0,0,          ,0,          ,0,          ,, $41.50 , $5.23 
038787,,,,7,OR,2,Cedrus atlantica 'Glauca Fastigiata'                        ,Columnar Blue Atlas Cedar                                   ,CON,CON,06,2010, $88.08 ,,,,014949233092,8,0,0,          ,0,          ,0,          ,, $75.00 , $13.08 
023315ST,,,,5 ST,OR,5,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON,CON,06,    , $56.23 ,,,,014949069394,0,23,23,05/01/15  ,0,          ,0,          ,, $51.00 , $5.23 
023325,,,,5,OR,5,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  ,CON,CON,06,    , $46.73 ,,,,014949233351,50,50,50,10/01/14  ,0,          ,0,          ,, $41.50 , $5.23 
