Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,051315,ABIES CONCOLOR CANDICANS,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,019345,ABIES LAS GLAUCA COMPACTA,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,00095MST,ACER PAL CRIMSON QUEEN,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000955ST,ACER PAL CRIMSON QUEEN,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,00084M,ACER PAL EMPEROR I R,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000849,ACER PAL EMPEROR I R,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,02909M,ACER PAL TAMUKEYAMA,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,033969,ACER PAL TROMPENBURG,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,00090M,ACER PAL WATERFALL,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001931,AJUGA REPTANS CATLIN'S GIANT,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,002565,AKEBIA QUINATA SHIRO BANA,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,016632,ANDROMEDA POL BLUE ICE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,003565,AUCUBA MR GOLDSTRIKE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,003565,AUCUBA MR GOLDSTRIKE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,078762S,AZ BLM-A-THON TM DB PK PP21477,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,078752S,AZ BLM-A-THON TM LVNDR PP21476,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,078772S,AZ BLM-A-THON TM RED PP21562,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,078782S,AZ BLM-A-THON TM WHITE PP21512,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,007072,AZALEA EX CANNON'S DOUBLE,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,008452,AZALEA GA ROSEBUD,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,007402,AZALEA GR FUCHSIA,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,008362,AZALEA NL MANDARIN LIGHTS,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023942,BER CRIMSON RUBY R PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012012,BER T CHERRY BOMB R CPBR 3488,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012052,BER T CRIMSON PYGMY,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035232,BER T GOLDEN RUBY R PP16203,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012102,BER T HELMOND PILLAR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012105,BER T HELMOND PILLAR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035242,BER T PYGMY RUBY TM,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012202,BER T ROSE GLOW,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012202,BER T ROSE GLOW,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012205,BER T ROSE GLOW,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012213,BER T ROYAL BURGUNDY R P9461,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,02471M,BETULA N SUMR CASCADE PP15150,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012417SE,BETULA PENDULA YOUNGII,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012515,BIGNONIA CAP TANGERINE BEAUTY,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013565,BUDDLEJA DAV ROYAL RED,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,077392S,BUDDLEJA MISS MOLLY PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,003012,BUXUS CHICAGOLAND GREEN R,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,090782,BUXUS GOLDEN TRIUMPH,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013825,BUXUS GREEN MOUNTAIN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
