Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,00095MST,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,03182M,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,03033M,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,074722,,,,,,,,,,
,002002,,,,,,,,,,
,007072,,,,,,,,,,
,008305,,,,,,,,,,
,008152,,,,,,,,,,
,400982S,,,,,,,,,,
,025212,,,,,,,,,,
,011285,,,,,,,,,,
,012012,,,,,,,,,,
,035232,,,,,,,,,,
,035233,,,,,,,,,,
,062932,,,,,,,,,,
,01429M,,,,,,,,,,
,012705PT,,,,,,,,,,
,012901,,,,,,,,,,
,013051,,,,,,,,,,
,013055,,,,,,,,,,
,013055PT,,,,,,,,,,
,013215PT,,,,,,,,,,
,095742BH,,,,,,,,,,
,095732BH,,,,,,,,,,
,090141BH,,,,,,,,,,
,074412S,,,,,,,,,,
,080812S,,,,,,,,,,
,013572,,,,,,,,,,
,013562,,,,,,,,,,
,074402S,,,,,,,,,,
,074405,,,,,,,,,,
,013822,,,,,,,,,,
,013823CN,,,,,,,,,,
,013825SP,,,,,,,,,,
,013891,,,,,,,,,,
,013952,,,,,,,,,,
,013952,,,,,,,,,,
,013955,,,,,,,,,,
,013832,,,,,,,,,,
,013835,,,,,,,,,,
,013835CN,,,,,,,,,,
,013837,,,,,,,,,,
,013902,,,,,,,,,,
,013905,,,,,,,,,,
,013882,,,,,,,,,,
,022711,,,,,,,,,,
,022715,,,,,,,,,,
,022482,,,,,,,,,,
,02365M,,,,,,,,,,
,023902,,,,,,,,,,
,082405OP,,,,,,,,,,
,082452,,,,,,,,,,
,027262,,,,,,,,,,
,026372,,,,,,,,,,
,024175,,,,,,,,,,
,024205,,,,,,,,,,
,088891,,,,,,,,,,
,027732,,,,,,,,,,
,045285,,,,,,,,,,
,074805,,,,,,,,,,
,028555PT,,,,,,,,,,
,030491SPT,,,,,,,,,,
,031595,,,,,,,,,,
,063481,,,,,,,,,,
,08702UT,,,,,,,,,,
,033605,,,,,,,,,,
,034302,,,,,,,,,,
,034452,,,,,,,,,,
,035402,,,,,,,,,,
,035405,,,,,,,,,,
,035405ES,,,,,,,,,,
,035405ES,,,,,,,,,,
,035855,,,,,,,,,,
,035905,,,,,,,,,,
,033011,,,,,,,,,,
,036785,,,,,,,,,,
,037701SPT,,,,,,,,,,
,038331,,,,,,,,,,
,402977,,,,,,,,,,
,022582,,,,,,,,,,
,022591,,,,,,,,,,
,028055,,,,,,,,,,
,061562,,,,,,,,,,
,061665,,,,,,,,,,
,064262,,,,,,,,,,
,040111,,,,,,,,,,
,074502S,,,,,,,,,,
,016962S,,,,,,,,,,
,031871,,,,,,,,,,
,036981,,,,,,,,,,
,006861,,,,,,,,,,
