Branch,item
170000,92755
170000,210935
170000,021472
170000,033035
170000,047075
170000,001025
170000,001421
170000,003565
170000,013905
170000,017842
170000,021093
170000,021472
170000,021595
170000,023285PT
170000,023317SE
170000,024461
170000,025463
170000,030735
170000,039825
170000,039991
170000,042022
170000,042025
170000,044871
170000,046752
170000,046767
170000,047075
170000,047085
170000,047571
170000,049845TR
170000,050612
170000,051322
170000,051425
170000,052595
170000,052605
170000,056635pt
170000,056871
170000,059232
170000,06167mt
170000,062225
170000,067281
170000,06741mt
170000,068812
170000,070231
170000,072835pt
170000,076641
170000,076731
170000,077781
170000,084941
170000,088871
170000,090782
170000,091425
170000,091885
170000,092752
170000,094271
170000,098405
170000,099451
170000,36671
