Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,,Future
,021565,,,,,,,,$134.99 ,,
,000955ST,,,,,,,,$159.99 ,,
,012032,,,,,,,,$36.99 ,,
,074742S,,,,,,,,$46.99 ,,
,062932,,,,,,,,$32.99 ,,
,012212,,,,,,,,$39.99 ,,
,01429M,,,,,,,,$164.99 ,,
,013825CN,,,,,,,,$114.99 ,,
,013893,,,,,,,,$58.99 ,,
,013833,,,,,,,,$58.99 ,,
,013905,,,,,,,,$64.99 ,,
,013981,,,,,,,,$14.99 ,,
,086892S,,,,,,,,$48.99 ,,
,022567,,,,,,,,$120.99 ,,
,023305,,,,,,,,$114.99 ,,
,017385,,,,,,,,$68.99 ,,
,017857,,,,,,,,$189.99 ,,
,027863,,,,,,,,$44.99 ,,
,030507,,,,,,,,$119.99 ,,
,031202,,,,,,,,$29.99 ,,
,031362,,,,,,,,$29.99 ,,
,033605,,,,,,,,$56.99 ,,
,031413,,,,,,,,$44.99 ,,
,065803,,,,,,,,$44.99 ,,
,036671,,,,,,,,$16.99 ,,
,038681,,,,,,,,$18.99 ,,
,061813,,,,,,,,$39.99 ,,
,061563,,,,,,,,$39.99 ,,
,061663,,,,,,,,$39.99 ,,
,061573,,,,,,,,$39.99 ,,
,061793,,,,,,,,$39.99 ,,
,064263,,,,,,,,$39.99 ,,
,092753,,,,,,,,$58.99 ,,
,074562S,,,,,,,,$49.99 ,,
,074542S,,,,,,,,$49.99 ,,
,074572S,,,,,,,,$49.99 ,,
,086315,,,,,,,,$68.99 ,,
,089953S,,,,,,,,$38.99 ,,
,029923S,,,,,,,,$38.99 ,,
,084652,,,,,,,,$39.99 ,,
,009791,,,,,,,,$14.99 ,,
,402677,,,,,,,,$149.99 ,,
,415867ES,,,,,,,,$159.99 ,,
,415877ES,,,,,,,,$159.99 ,,
,402755,,,,,,,,$98.99 ,,
,061622,,,,,,,,$36.99 ,,
,039085,,,,,,,,$98.99 ,,
,039135,,,,,,,,$98.99 ,,
,052605,,,,,,,,$98.99 ,,
,409892,,,,,,,,$42.99 ,,
,052552,,,,,,,,$56.99 ,,
,064622SP,,,,,,,,$129.99 ,,
,019372,,,,,,,,$49.99 ,,
,064875,,,,,,,,$104.99 ,,
,064835,,,,,,,,$110.99 ,,
,06478M,,,,,,,,$224.99 ,,
,051215,,,,,,,,$69.99 ,,
,065085,,,,,,,,$69.99 ,,
,019415,,,,,,,,$114.99 ,,
,031815,,,,,,,,$84.99 ,,
,066945,,,,,,,,$108.99 ,,
,053559,,,,,,,,$259.99 ,,
,053557,,,,,,,,$120.99 ,,
,066939,,,,,,,,$259.99 ,,
,066937,,,,,,,,$120.99 ,,
,402787ES,,,,,,,,$159.99 ,,
,018015,,,,,,,,$79.99 ,,
,009803,,,,,,,,$46.99 ,,
,019775,,,,,,,,$84.99 ,,
,010202,,,,,,,,$49.99 ,,
,086433S,,,,,,,,$42.99 ,,
,406803S,,,,,,,,$49.99 ,,
,072023,,,,,,,,$44.99 ,,
,047442,,,,,,,,$34.99 ,,
,055145,,,,,,,,$74.99 ,,
,073435,,,,,,,,$84.99 ,,
,034095,,,,,,,,$84.99 ,,
,073265,,,,,,,,$68.99 ,,
,075105,,,,,,,,$59.99 ,,
,409762,,,,,,,,$42.99 ,,
,409972,,,,,,,,$42.99 ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
