Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
CA,1355316,                              ,06/15/14  ,000101,#1,ABELIA EDWARD GOUCHER,Pink Abelia                                                                                         ,    ,5.50 ,,4.57 , 10 , 10 , 45.70 ,03/15/14    ,-,,0.84 , 5.41 , 5.83 ,, 16.99 ,014949001011 
CA,1355316,                              ,06/15/14  ,028342,#2,ABELIA GRA KALEIDOSCOPE P16988,Kaleidoscope Abelia                                                                                 ,    ,16.00 ,,13.28 , 5 , 10 , 132.80 ,Now         ,WINTER COLOR,"12""H - 12""S *",2.10 , 15.38 , 16.43 ,, 24.99 ,014949063200 
CA,1355316,                              ,06/15/14  ,000055,#5,ABELIA GRANDIFLORA,Glossy Abelia                                                                                       ,    ,18.75 ,,15.56 , 5 , 5 , 77.80 ,04/01/14    ,-,,4.20 , 19.76 , 21.86 ,, 39.99 ,014949000557 
OR,1354950,                              ,06/13/14  ,051315,#5,ABIES CONCOLOR CANDICANS,Candicans White Fir                                                                                 ,2012,44.00 ,,36.52 , 5 , 5 , 182.60 ,05/15/14    ,,,4.03 , 40.55 , 42.56 ,, 99.99 ,014949278642 
OR,1354950,                              ,06/13/14  ,036235,#5,ACER NEGUNDO KELLY'S GOLD,Kelly's Gold Boxelder Maple                                                                         ,    ,27.00 ,,22.41 , 5 , 5 , 112.05 ,Now         ,BREAKING DORMANCY,"56""H",4.03 , 26.44 , 28.45 ,, 69.99 ,014949211045 
OR,1354950,                              ,06/13/14  ,000952ST,#2 STAKED,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple                                                                        ,    ,36.00 ,,29.88 , 5 , 5 , 149.40 ,05/15/14    ,DORMANT,,2.01 , 31.89 , 32.90 ,, 79.99 ,014949009529 
OR,1354950,                              ,06/13/14  ,018335,#5,ACER PAL SHISHIGASHIRA,Shishigashira Japanese Maple                                                                        ,    ,54.00 ,,44.82 , 5 , 5 , 224.10 ,Now         ,DORMANT,"26""H-18""S",4.03 , 48.85 , 50.86 ,, 99.99 ,014949007730 
OR,1354950,                              ,06/13/14  ,000905ST,#5 STAKED,ACER PAL WATERFALL,Waterfall Japanese Maple                                                                            ,    ,54.00 ,,44.82 , 5 , 5 , 224.10 ,05/15/14    ,DORMANT,,4.03 , 48.85 , 50.86 ,, 129.99 ,014949009055 
GA,1354973,                              ,06/15/14  ,024961,#1,ACHILLEA MILL SUMMERWINE,Summerwine Common Yarrow                                                                            ,    ,4.75 ,PRNADV,3.71 , 10 , 10 , 37.10 ,04/01/14    ,,,0.47 , 4.18 , 4.41 ,, 12.99 ,014949049891 
GA,1354973,                              ,06/15/14  ,000471,#1,ACHILLEA MILL TERRA COTTA,Terra Cotta Common Yarrow                                                                           ,    ,4.75 ,PRNADV,3.71 , 10 , 10 , 37.10 ,04/01/14    ,,,0.47 , 4.18 , 4.41 ,, 12.99 ,014949002100 
